"'Table I-Sarcobatus","'vermiculatus,","'black greasewood:","'germination","'tests,","'conditions, and","'results","'",
"'","'Germination","'test","'conditions","'Germination","'rate","'Average %","'",
"'Seed source","'Medium","'Temp (C)","'Days","'Amt (%)","'Days","'germination","'Samples",
"'Montana","'Kimpak","'10","'30","'67","'2","'100","'4",
"'Montana","'Kimpak","'10","'30","'91","'10","'98","'4",
"'","'-","'5-25","'30","'-","'-","'80-93","'4",
"'New Mexico","'Filter paper","'II","'25","'-","'-","'100","'-",
"'","'","'11","'26","'66","'4","'88","'3",
,,,,,,,

'Confidence Scores % (Table Cell)
"'95.26367188","'95.26367188","'95.26367188","'95.26367188","'95.26367188","'95.26367188","'95.26367188","'95.26367188",
"'63.52539063","'88.81835938","'88.81835938","'88.81835938","'90.42968750","'90.42968750","'72.80273438","'58.15429688",
"'63.52539063","'82.08007813","'86.27929688","'81.59179688","'88.33007813","'82.71484375","'72.80273438","'58.15429688",
"'87.93945313","'82.27539063","'86.52343750","'81.83593750","'88.57421875","'82.95898438","'89.69726563","'87.89062500",
"'76.41601563","'71.48437500","'75.19531250","'71.09375000","'76.95312500","'72.11914063","'77.92968750","'76.36718750",
"'72.26562500","'67.62695313","'71.14257813","'67.28515625","'72.80273438","'68.21289063","'73.73046875","'72.26562500",
"'46.97265625","'64.30664063","'67.62695313","'63.96484375","'69.18945313","'64.84375000","'70.06835938","'68.70117188",
"'46.97265625","'78.66210938","'82.71484375","'78.22265625","'84.66796875","'79.29687500","'85.74218750","'84.03320313",
