"","unique(dtempchange2$datasetID)"
"1","moeini21"
"2","zhang21"
"3","tilki06"
"4","tang10a"
"5","momonoki79"
"6","han10"
"7","ochuodho08"
"8","winstead71"
"9","chien09"
"10","liu13"
"11","downie98"
"12","povoa09"
"13","tang10b"
"14","markovic20"
"15","Acosta12"
"16","Albrecht20"
"17","Beikmohammadi12"
"18","Boscagli01"
"19","Borghetti86"
"20","barros12"
"21","jang22"
"22","jiro10"
"23","karlsson08"
"24","kato11"
"25","kazaz10"
"26","keshtkar08"
"27","kettenring07"
"28","ma18"
"29","ma03"
"30","meyer94"
"31","meyer95"
"32","martinik14"
"33","muller03"
"34","panayotova15"
"35","parmenter96"
"36","picciau18"
"37","picciau17"
"38","Aldridge1992"
"39","Aldridge1993"
"40","Aldridge1994"
"41","Aldridge1995"
"42","Aldridge1996"
"43","Aldridge1997"
"44","Aldridge1998"
"45","Chen06"
"46","Chichizola18"
"47","Chien10"
"48","Chien11"
"49","cicek08"
"50","Cuena-Lombrana18"
"51","Dehgan84"
"52","cousins10"
"53","Naumovski05"
"54","Necajeva13"
"55","Sacande04"
"56","Schutz02"
"57","mattana09"
"58","Mulaudzi09"
"59","lee21"
"60","brenchley98"
"61","lee06"
"62","nurse08"
"63","pipinis09"
"64","pipinis20"
"65","prknova15"
"66","roh08"
"67","tang21"
"68","tylkowski91"
"69","tylkowski10"
"70","tylkowski09"
"71","tylkowski07"
"72","yan16"
"73","yang18"
"74","yang10"
"75","yaqoob17"
"76","li17"
"77","li21"
"78","li11 "
"79","li11"
"80","alhelal96"
"81","battaglia93"
"82","bibby53"
"83","forbes09"
"84","geszprych02"
"85","gianni19"
"86","gimenez-benavides13"
"87","goggans74"
"88","ren04"
"89","ren15"
"90","ren08"
"91","rezvani14"
"92","skordilis95"
"93","song20"
"94","veiga-barbosa16"
"95","walck12"
"96","chen15"
"97","chen06"
"98","chichizola18"
"99","kolodziejek18"
"100","kolodziejek19"
"101","kulkarni06"
"102","langlois17"
"103","ahmad07"
"104","budisavljevic21"
"105","chen08"
"106","Harrington09"
"107","Hawkins19"
"108","herron01"
