"'Table 2-Taxus,","'yew: phenology of","'flowering and fruiting","'","'",
"'Species","'Location","'Flowering","'Fruit & seed ripening","'Seed dispersal",
"'T. baccata","'W Europe","'Mar-May","'Aug-Oct","'Aug-Oct",
"'T. brevifolia","'Washington & Oregon","'Mar-May","'July-Oct","'July-Oct",
"'T. canadensis","'Minnesota & Wisconsin","'Apr","'Aug-Sept","'Aug-Sept",
"'T. cuspidata","'Japan","'Apr-June","'Sept-Oct","'Oct",
"'T. floridana","'NW Florida","'Jan-Mar","'Aug-Oct","'Aug-Oct",
,,,,

'Confidence Scores % (Table Cell)
"'90.82031250","'90.82031250","'90.82031250","'90.82031250","'90.82031250",
"'85.93750000","'91.06445313","'87.64648438","'91.45507813","'90.82031250",
"'84.32617188","'89.40429688","'86.03515625","'89.74609375","'89.11132813",
"'79.44335938","'84.17968750","'81.00585938","'84.52148438","'83.93554688",
"'79.78515625","'84.57031250","'81.39648438","'84.91210938","'84.32617188",
"'79.00390625","'83.74023438","'80.56640625","'84.08203125","'83.44726563",
"'88.37890625","'93.65234375","'90.13671875","'94.04296875","'93.35937500",
