"'","'Nuts/kg","'Nuts/lb",
"'giant chinquapin","'1,826-2,420","'830-1,100",
"'(C. chrysophylla var. chrysophylla) golden chinquapin","'1,540","'700",
"'(C. chrysophylla var. minor) bush chinquapin (C. sempervirens)","'","'2,640 1,200",
,,

'Confidence Scores % (Table Cell)
""'95.60546875","'91.60156250","'93.75000000",
"'67.96875000","'65.13671875","'66.65039063",
"'52.00195313","'49.80468750","'50.97656250",
"'59.03320313","'56.59179688","'57.91015625",
