"'Table I-Chimaphila: nomenclature and","'occurrence","'",
"'Scientific name","'Common name(s)","'Distribution",
"'C. japonica Miq.","'Japanese chimaphila","'Japan, Korea, China, & Taiwan",
"'C. maculata (L.) Pursh","'striped pipsissewa, striped prince's-pine, spotted wintergreen","'Maine & New Hampshire to Ontario, Michigan, & Illinois S to Georgia, Alabama, & Tennessee",
"'C. menziesii (R. Br. ex D. Don) Spreng.","'little pipsissewa, little prince's-pine","'British Columbia, Montana, & Washington S through Oregon & California to Mexico",
"'C. umbellata (L.) W. Bart.","'pipsissewa, prince's-pine","'North America from Alaska to Mexico & from Ontario & New Brunswick to Georgia; Europe (incl. Scandinavia), Eurasia, Japan, & West Indies",
,,

'Confidence Scores % (Table Cell)
""'67.72460938","'67.72460938","'67.72460938",
"'89.89257813","'86.86523438","'91.55273438",
"'88.08593750","'85.15625000","'89.69726563",
"'91.55273438","'88.47656250","'93.21289063",
"'83.98437500","'81.15234375","'85.49804688",
"'93.75000000","'90.62500000","'95.45898438",
