"'Table 2-Crataegus,","'hawthorn: phenology","'of flowering and fruiting, and","'color of ripe fruit",
"'Species","'Flowering","'Fruit ripening","'Color of ripe fruit*",
"'NOT_SELECTED C. gestivalis","'Mar","'May-June","'Lustrous, scarlet",
"'NOT_SELECTED C. X anomala","'May","'Sept-Oct","'Bright crimson",
"'NOT_SELECTED C. berberifolia","'Mar-Apr","'Oct","'Orange with red face",
"'NOT_SELECTED C. brachyacantha","'Apr-May","'Aug","'Bright blue with white wax",
"'NOT_SELECTED C. brainerdii","'May-June","'Sept-Oct","'Red",
"'NOT_SELECTED C. calpodendron","'May-June","'Sept-Oct","'Orange-red to red",
"'NOT_SELECTED C. chrysocarpa","'May-June","'Aug-Sept","'Yellow to orange to crimson",
"'NOT_SELECTED C. coccinoides","'May","'Oct","'Glossy, dark crimson",
"'NOT_SELECTED C. crus-galli","'June","'Oct","'Dull red",
"'NOT_SELECTED C. dilatata","'May","'Sept","'Scarlet with dark spots",
"'NOT_SELECTED C. douglasii","'May","'Aug-Sept","'Lustrous, black to chestnut-brown",
"'NOT_SELECTED C. erythropoda","'Apr-May","'Oct","'Red to wine purple, brown, or black",
"'NOT_SELECTED C. flabellata","'May","'Sept","'Crimson",
"'NOT_SELECTED C. flava","'Apr","'Oct","'Dark orange-brown or yellow",
"'NOT_SELECTED C. greggiana","'Apr","'Oct-Nov","'Bright red",
"'NOT_SELECTED C. harbisonii","'May","'Oct","'Bright red or orange-red",
"'C. intricata","'May-June","'Oct","'Greenish or reddish brown",
"'NOT_SELECTED C. lacrimata","'Apr","'Aug","'Dull yellow or orange or red",
"'C. laevigata","'Apr-May","'Sept-Oct","'Deep red",
"'C. marshallii","'Apr-May","'Oct","'Bright scarlet",
"'NOT_SELECTED C. mollis","'May","'Aug-Sept","'Scarlet with large dark dots",
"'C. monogyna","'May","'Sept-Oct","'Bright red",
"'C. nitida","'May","'Oct","'Dull red covered with white wax",
"'NOT_SELECTED C. opaca","'Feb-Mar","'May","'Lustrous scarlet with pale dots",
"'C. pedicellata","'May","'Sept","'Glossy, scarlet",
"'NOT_SELECTED C. persimilis","'May-June","'Oct","'Bright red",
"'C. phaenopyrum","'May","'Sept-Oct","'Lustrous scarlet",
"'NOT_SELECTED C. piperi","'May-June","'Aug-Sept","'Salmon-orange to scarlet",
"'C. pruinosa","'May-June","'Oct-Nov","'Dark purple-red",
"'C. pulcherrima","'Apr-May","'Sept-Oct","'Red",
"'NOT_SELECTED C. punctata","'May-June","'Sept-Oct","'Dull red or bright yellow",
"'C. reverchonii","'May","'Oct","'Shiny or dull red",
"'C. rufula","'Mar-Apr","'June-July","'Red",
"'C. saligna","'May","'Oct","'Red to blue-black",
"'C. sanguineat","'May","'Aug-Sept","'Bright red",
"'C. spathulata","'Apr-May","'Sept-Oct","'Red",
"'C. succulenta","'May-June","'Sept-Oct","'Bright red",
"'C. tracyi","'Apr-May","'Sept-Oct","'Orange-red",
"'C. triflora","'May","'Oct","'Red, hairy",
"'C. uniflora","'Apr-May","'Sept-Oct","'Yellow to dull red to brown",
"'C. viridis","'Apr-May","'Sept-Oct","'Bright red, orange-red, yellow",
,,,

'Confidence Scores % (Table Cell)
""'90.47851563","'90.47851563","'90.47851563","'90.47851563",
"'94.97070313","'94.48242188","'95.50781250","'96.48437500",
"'93.01757813","'92.52929688","'93.50585938","'94.43359375",
"'88.03710938","'87.59765625","'88.52539063","'89.40429688",
"'91.30859375","'90.82031250","'91.79687500","'92.72460938",
"'91.30859375","'90.82031250","'91.79687500","'92.72460938",
"'89.69726563","'89.20898438","'90.18554688","'91.06445313",
"'92.91992188","'92.43164063","'93.40820313","'94.33593750",
"'91.55273438","'91.11328125","'92.08984375","'93.01757813",
"'89.30664063","'88.86718750","'89.79492188","'90.67382813",
"'93.50585938","'93.06640625","'94.04296875","'94.97070313",
"'92.91992188","'92.43164063","'93.40820313","'94.33593750",
"'91.65039063","'91.21093750","'92.18750000","'93.11523438",
"'88.62304688","'88.18359375","'89.11132813","'90.03906250",
"'91.65039063","'91.21093750","'92.18750000","'93.11523438",
"'92.48046875","'91.99218750","'92.96875000","'93.89648438",
"'93.35937500","'92.91992188","'93.89648438","'94.82421875",
"'90.47851563","'90.03906250","'90.96679688","'91.89453125",
"'92.38281250","'91.89453125","'92.87109375","'93.79882813",
"'91.16210938","'90.67382813","'91.65039063","'92.57812500",
"'90.47851563","'90.03906250","'90.96679688","'91.89453125",
"'91.01562500","'90.52734375","'91.50390625","'92.43164063",
"'92.62695313","'92.13867188","'93.11523438","'94.04296875",
"'91.94335938","'91.50390625","'92.48046875","'93.40820313",
"'92.23632813","'91.79687500","'92.72460938","'93.65234375",
"'92.23632813","'91.79687500","'92.72460938","'93.65234375",
"'90.13671875","'89.69726563","'90.67382813","'91.55273438",
"'90.96679688","'90.47851563","'91.45507813","'92.38281250",
