datasetID,study,entered.by,genus,species,variety,woody,crop,source.population,provenance.lat,provenance.long,provenance.altitude,continent,no.indiv.collected,year.collected,year.germination,storage.type,storage.time,storage.humidity,storage.temp,treatment,chill.temp,chill.duration,germ.temp,other.treatment,photoperiod,chemical,chemcial.concent,trt.duration,scarification,scarif.type,soaking,soaked.in,soaking.duration,seed.mass.given,respvar,response,error.type,resp.error,reps,n.per.rep,germ.duration,germ.tim.zero,figure,Notes
chen15,exp1,AZ,Acer,morrisonense,,Y,N,"Tsuifeng, Nanto County, Central Taiwan",24.10555556,121.1869444,2400,Asia,NA,2011,,in liquid nitrogen,7,,-80,cold moist stratification,5,112,25,second stratification temperature (25/15),12,,,,N,,,,,No,per.germ,0,,,,,0,,figure 1,
chen15,exp1,AZ,Acer,morrisonense,,Y,N,"Tsuifeng, Nanto County, Central Taiwan",24.10555556,121.1869444,2400,Asia,NA,2011,,in liquid nitrogen,7,,-80,cold moist stratification,5,112,25,second stratification temperature (25/15),12,,,,N,,,,,No,per.germ,0,,,,,6.195,,figure 1,
chen15,exp1,AZ,Acer,morrisonense,,Y,N,"Tsuifeng, Nanto County, Central Taiwan",24.10555556,121.1869444,2400,Asia,NA,2011,,in liquid nitrogen,7,,-80,cold moist stratification,5,112,25,second stratification temperature (25/15),12,,,,N,,,,,No,per.germ,0,,,,,13.79,,figure 1,
chen15,exp1,AZ,Acer,morrisonense,,Y,N,"Tsuifeng, Nanto County, Central Taiwan",24.10555556,121.1869444,2400,Asia,NA,2011,,in liquid nitrogen,7,,-80,cold moist stratification,5,112,25,second stratification temperature (25/15),12,,,,N,,,,,No,per.germ,0,,,,,20.062,,figure 1,
chen15,exp1,AZ,Acer,morrisonense,,Y,N,"Tsuifeng, Nanto County, Central Taiwan",24.10555556,121.1869444,2400,Asia,NA,2011,,in liquid nitrogen,7,,-80,cold moist stratification,5,112,25,second stratification temperature (25/15),12,,,,N,,,,,No,per.germ,0.251,,,,,27.328,,figure 1,
chen15,exp1,AZ,Acer,morrisonense,,Y,N,"Tsuifeng, Nanto County, Central Taiwan",24.10555556,121.1869444,2400,Asia,NA,2011,,in liquid nitrogen,7,,-80,cold moist stratification,5,112,25,second stratification temperature (25/15),12,,,,N,,,,,No,per.germ,1.052,,,,,34.594,,figure 1,
chen15,exp1,AZ,Acer,morrisonense,,Y,N,"Tsuifeng, Nanto County, Central Taiwan",24.10555556,121.1869444,2400,Asia,NA,2011,,in liquid nitrogen,7,,-80,cold moist stratification,5,112,25,second stratification temperature (25/15),12,,,,N,,,,,No,per.germ,2.255,,,,,41.202,,figure 1,
chen15,exp1,AZ,Acer,morrisonense,,Y,N,"Tsuifeng, Nanto County, Central Taiwan",24.10555556,121.1869444,2400,Asia,NA,2011,,in liquid nitrogen,7,,-80,cold moist stratification,5,112,25,second stratification temperature (25/15),12,,,,N,,,,,No,per.germ,3.056,,,,,49.126,,figure 1,
chen15,exp1,AZ,Acer,morrisonense,,Y,N,"Tsuifeng, Nanto County, Central Taiwan",24.10555556,121.1869444,2400,Asia,NA,2011,,in liquid nitrogen,7,,-80,cold moist stratification,5,112,25,second stratification temperature (25/15),12,,,,N,,,,,No,per.germ,3.858,,,,,55.734,,figure 1,
chen15,exp1,AZ,Acer,morrisonense,,Y,N,"Tsuifeng, Nanto County, Central Taiwan",24.10555556,121.1869444,2400,Asia,NA,2011,,in liquid nitrogen,7,,-80,cold moist stratification,5,112,25,second stratification temperature (25/15),12,,,,N,,,,,No,per.germ,7.064,,,,,62.006,,figure 1,
chen15,exp1,AZ,Acer,morrisonense,,Y,N,"Tsuifeng, Nanto County, Central Taiwan",24.10555556,121.1869444,2400,Asia,NA,2011,,in liquid nitrogen,7,,-80,cold moist stratification,5,112,25,second stratification temperature (25/15),12,,,,N,,,,,No,per.germ,7.465,,,,,68.943,,figure 1,
