datasetID,study,entered.by,genus,species,variety,woody,crop,source.population,provenance.lat,provenance.long,provenance.altitude,continent,no.indiv.collected,year.collected,year.germination,storage.type,storage.time,storage.humidity,storage.temp,treatment,chill.temp,chill.duration,germ.temp,other.treatment,photoperiod,chemical,chemcial.concent,trt.duration,scarification,scarif.type,soaking,soaked.in,soaking.duration,seed.mass.given,respvar,response,error.type,resp.error,reps,n.per.rep,germ.duration,germ.time.zero,figure,Notes
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,5,NA,16,NA,,,N,NA,N,N,N,Y,per.germ,34,se,1.39,4,25,15,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,10,NA,16,NA,,,N,NA,N,N,N,Y,per.germ,42,se,3.89,4,25,15,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,15,NA,16,NA,,,N,NA,N,N,N,Y,per.germ,50,se,4.7,4,25,15,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,20,NA,16,NA,,,N,NA,N,N,N,Y,per.germ,68,se,3.05,4,25,15,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,25,NA,16,NA,,,N,NA,N,N,N,Y,per.germ,89,se,2.97,4,25,15,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,30,NA,16,NA,,,N,NA,N,N,N,Y,per.germ,72,se,2.08,4,25,15,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,20/10,NA,16,NA,,,N,NA,N,N,N,Y,per.germ,63,se,5.9,4,25,30,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,25/15,NA,16,NA,,,N,NA,N,N,N,Y,per.germ,86,se,4.42,4,25,15,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,5,scarification,16,NA,,,Y,Demucilagation,N,N,N,Y,per.germ,9,se,1.52,4,25,30,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,10,scarification,16,NA,,,Y,Demucilagation,N,N,N,Y,per.germ,15,se,1.82,4,25,30,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,15,scarification,16,NA,,,Y,Demucilagation,N,N,N,Y,per.germ,24,se,2.9,4,25,15,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,20,scarification,16,NA,,,Y,Demucilagation,N,N,N,Y,per.germ,29,se,3.25,4,25,15,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,25,scarification,16,NA,,,Y,Demucilagation,N,N,N,Y,per.germ,62,se,2.56,4,25,15,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,30,scarification,16,NA,,,Y,Demucilagation,N,N,N,Y,per.germ,49,se,3.26,4,25,15,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,20/10,scarification,16,NA,,,Y,Demucilagation,N,N,N,Y,per.germ,21,se,4.62,4,25,30,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,25/15,scarification,16,NA,,,Y,Demucilagation,N,N,N,Y,per.germ,57,se,3.29,4,25,15,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,5,NA,16,NA,,,N,NA,N,N,N,Y,MGT,16.85,se,0.41,4,25,30,start of incubation,Tab. 1,
veiga-barbosa14,exp1,DMB,Plantago,albicans,NA,N,N,"Navarra, Spain",,,,Europe,,2012,,dry,4 months,,ambient,temperture,NA,NA,10,NA,16,NA,,,N,NA,N,N,N,Y,MGT,10.12,se,0.88,4,25,30,start of incubation,Tab. 1,
