Baskin Dormancy Database : Species Level Data,,,,,
,,,,,
1,Original Genus,Corrected Genus,Genus_species,Family,Dormancy Class
2,Acanthus,Acanthus,Acanthus_ilicifolius,Acanthaceae,ND
3,Adhatoda,Justicia,Adhatoda_vasica,Acanthaceae,ND
4,Andrographis,Andrographis,Andrographis_paniculata,Acanthaceae,PD
5,Anisacanthus,Anisacanthus,Anisacanthus_wrightii,Acanthaceae,PD
6,Asystasia,Asystasia,Asystasia_gangetica,Acanthaceae,PD
7,Avicenna,Avicennia,Avicenna_alba,Acanthaceae,ND
8,Avicenna,Avicennia,Avicenna_officinalis,Acanthaceae,ND
9,Avicennia,Avicennia,Avicennia_germinanscr,Acanthaceae,ND
10,Avicennia,Avicennia,Avicennia_marinacr,Acanthaceae,ND
11,Avicennia,Avicennia,Avicennia_officinaliscr,Acanthaceae,ND
12,Avicennia,Avicennia,Avicennia_schauerianacr,Acanthaceae,ND
13,Dipteracanthus,Dipteracanthus,Dipteracanthus_patulus,Acanthaceae,ND
14,Hygrophila,Hygrophila,Hygrophila_auriculata,Acanthaceae,PD
15,Justicia,Justicia,Justicia_procumbens,Acanthaceae,PD
16,Mendoncia,Mendoncia,Mendoncia_littoralis,Acanthaceae,PD
17,Nothosaerus,Nothosaerus,Nothosaerus_brachiata,Acanthaceae,PD
18,Peristrophe,Peristrophe,Peristrophe_bicalyculata,Acanthaceae,PD
19,Pteracenthus,Strobilanthes,Pteracenthus_alatus,Acanthaceae,PD
20,Ruellia,Ruellia,Ruellia_humilis,Acanthaceae,PD
21,Ruellia,Ruellia,Ruellia_tuberosa,Acanthaceae,ND
22,Ruellia,Ruellia,Ruellia_tweediana,Acanthaceae,ND
23,Trichanthera,Trichanthera,Trichanthera_gigantea,Acanthaceae,ND
24,Acharia,Acharia,Acharia_tragodes,Achariaceae,MPD
25,Caloncoba,Caloncoba,Caloncoba_brevipes,Achariaceae,ND
26,Caloncoba,Caloncoba,Caloncoba_echinatac,Achariaceae,ND
27,Caloncoba,Caloncoba,Caloncoba_gilgiana,Achariaceae,ND
28,Carpotroche,Carpotroche,Carpotroche_brasiliensis,Achariaceae,ND
29,Hydnocarpus,Hydnocarpus,Hydnocarpus_anthelmintica,Achariaceae,ND
30,Hydnocarpus,Hydnocarpus,Hydnocarpus_wightiana,Achariaceae,ND
31,Hydnocarpus,Hydnocarpus,Hydnocarpus_woodii,Achariaceae,PD
32,Lindackeria,Lindackeria,Lindackeria_dentata,Achariaceae,ND
33,Lindackeria,Lindackeria,Lindackeria_laurina,Achariaceae,PD
34,Acorus,Acorus,Acorus_calamus,Acoraceae,MPD
35,Actinidia,Actinidia,Actinidia_kolomikta,Actinidiaceae,PD
36,Actinidia,Actinidia,Actinidia_latifolia,Actinidiaceae,PD
37,Actinidia,Actinidia,Actinidia_polygama,Actinidiaceae,PD
38,Clematoclethra,Clematoclethra,Clematoclethra_lasiolada,Actinidiaceae,PD
39,Saurauia,Saurauia,Saurauia_nepaulensis,Actinidiaceae,ND
40,Saurauia,Saurauia,Saurauia_nepaulensis,Actinidiaceae,PD
41,Saurauia,Saurauia,Saurauia_roxburghii,Actinidiaceae,ND
42,Saurauia,Saurauia,Saurauia_roxburghii,Actinidiaceae,ND
43,Saurauia,Saurauia,Saurauia_roxburghii,Actinidiaceae,PD
44,Adoxa,Adoxa,Adoxa_moschatellina,Adoxaceae,MPD
45,Sambucus,Sambucus,Sambucus_adnata,Adoxaceae,MPD
46,Sambucus,Sambucus,Sambucus_australis,Adoxaceae,MD
47,Sambucus,Sambucus,Sambucus_caerulea,Adoxaceae,MPD
48,Sambucus,Sambucus,Sambucus_callicarpa,Adoxaceae,MPD
49,Sambucus,Sambucus,Sambucus_canadensis,Adoxaceae,MPD
50,Sambucus,Sambucus,Sambucus_glauca,Adoxaceae,MPD
51,Sambucus,Sambucus,Sambucus_javanica,Adoxaceae,MD
52,Sambucus,Sambucus,Sambucus_pubens,Adoxaceae,MPD
53,Sambucus,Sambucus,Sambucus_pubens,Adoxaceae,MPD
54,Sambucus,Sambucus,Sambucus_racemosa,Adoxaceae,MPD
55,Sambucus,Sambucus,Sambucus_williamsii,Adoxaceae,MPD
56,Viburnum,Viburnum,Viburnum_acerifolium,Adoxaceae,MPD
57,Viburnum,Viburnum,Viburnum_betulifolium,Adoxaceae,MPD
58,Viburnum,Viburnum,Viburnum_bracteatum,Adoxaceae,MPD
59,Viburnum,Viburnum,Viburnum_cassinoides,Adoxaceae,MPD
60,Viburnum,Viburnum,Viburnum_dentatum,Adoxaceae,MPD
61,Viburnum,Viburnum,Viburnum_dilatatum,Adoxaceae,MPD
62,Viburnum,Viburnum,Viburnum_dilatatum,Adoxaceae,MPD
63,Viburnum,Viburnum,Viburnum_erubescens,Adoxaceae,MPD
64,Viburnum,Viburnum,Viburnum_farreri,Adoxaceae,MPD
65,Viburnum,Viburnum,Viburnum_foetidum,Adoxaceae,MPD
66,Viburnum,Viburnum,Viburnum_formosanum,Adoxaceae,MPD
67,Viburnum,Viburnum,Viburnum_glomeratum,Adoxaceae,MPD
68,Viburnum,Viburnum,Viburnum_lantana,Adoxaceae,MPD
69,Viburnum,Viburnum,Viburnum_lentago,Adoxaceae,MPD
70,Viburnum,Viburnum,Viburnum_nudum,Adoxaceae,MD
71,Viburnum,Viburnum,Viburnum_nudum,Adoxaceae,MPD
72,Viburnum,Viburnum,Viburnum_odoratissimum,Adoxaceae,MPD
73,Viburnum,Viburnum,Viburnum_opulus,Adoxaceae,MPD
74,Viburnum,Viburnum,Viburnum_prunifolium,Adoxaceae,MPD
75,Viburnum,Viburnum,Viburnum_pubescens,Adoxaceae,MPD
76,Viburnum,Viburnum,Viburnum_rufidulum,Adoxaceae,MPD
77,Viburnum,Viburnum,Viburnum_sargentii,Adoxaceae,MPD
78,Viburnum,Viburnum,Viburnum_sargentii f. flavum,Adoxaceae,MPD
79,Viburnum,Viburnum,Viburnum_scabrellum,Adoxaceae,MD
80,Viburnum,Viburnum,Viburnum_scabrellum,Adoxaceae,MPD
81,Viburnum,Viburnum,Viburnum_sempervirens,Adoxaceae,MPD
82,Viburnum,Viburnum,Viburnum_stulletum,Adoxaceae,MPD
83,Viburnum,Viburnum,Viburnum_tinus,Adoxaceae,MPD
84,Viburnum,Viburnum,Viburnum_trilobum,Adoxaceae,MPD
85,Aextoxicon,Aextoxicon,Aextoxicon_punctatum,Aextoxicaceae,PD
86,Aridaria,Aridaria,Aridaria_noctiflora,Aizoaceae,PD
87,Brownanthus,Brownanthus,Brownanthus_ciliatus,Aizoaceae,PD
88,Carpobrotus,Carpobrotus,Carpobrotus_edulis,Aizoaceae,ND
89,Carpobrotus,Carpobrotus,Carpobrotus_modestus,Aizoaceae,PD
90,Caryotophora,Caryotophora,Caryotophora_skiatophytoides,Aizoaceae,PD
91,Cephalophyllum,Cephalophyllum,Cephalophyllum_inaequale,Aizoaceae,ND
92,Cephalophyllum,Cephalophyllum,Cephalophyllum_spongiosum,Aizoaceae,PD
93,Conicosia,Conicosia,Conicosia_pugoniformis,Aizoaceae,PD
94,Delosperma,Delosperma,Delosperma_herbeum,Aizoaceae,ND
95,Delosperma,Delosperma,Delosperma_richardsonii,Aizoaceae,PD
96,Drosanthemum,Drosanthemum,Drosanthemum_hispidum,Aizoaceae,PD
97,Drosanthemum,Drosanthemum,Drosanthemum_montaguense,Aizoaceae,ND
98,Drosanthemum,Drosanthemum,Drosanthemum_speciosum,Aizoaceae,PD
99,Drosanthemum,Drosanthemum,Drosanthemum_thudichumii,Aizoaceae,PD
100,Erepsia,Erepsia,Erepsia_anceps,Aizoaceae,PD
101,Herrorea,Herrorea,Herrorea_latipetala,Aizoaceae,ND
102,Lampranthus,Lampranthus,Lampranthus_aureus,Aizoaceae,PD
103,Malephora,Malephora,Malephora_latipetala,Aizoaceae,PD
104,Mesembryanthemum,Mesembryanthemum,Mesembryanthemum_criniflorum,Aizoaceae,PD
105,Mesembryanthemum,Mesembryanthemum,Mesembryanthemum_nodiflorum,Aizoaceae,PD
106,Mesembryanthmum,Mesembryanthemum,Mesembryanthmum_crystallinum,Aizoaceae,PD
107,Petronia,Petronia,Petronia_pallens,Aizoaceae,PD
108,Psilocaulon,Psilocaulon,Psilocaulon_utile,Aizoaceae,PD
109,Rhinephyllum,Rhinephyllum,Rhinephyllum_graniforme,Aizoaceae,ND
110,Rhinephyllum,Rhinephyllum,Rhinephyllum_macradenium,Aizoaceae,ND
111,Ruschia,Ruschia,Ruschia_approximata,Aizoaceae,ND
112,Ruschia,Ruschia,Ruschia_bolusiae,Aizoaceae,PD
113,Ruschia,Ruschia,Ruschia_caroli,Aizoaceae,PD
114,Ruschia,Ruschia,Ruschia_carolii,Aizoaceae,PD
115,Ruschia,Ruschia,Ruschia_multiflora,Aizoaceae,PD
116,Ruschia,Ruschia,Ruschia_promontorii,Aizoaceae,PD
117,Ruschia,Ruschia,Ruschia_spinosa,Aizoaceae,PD
118,Saphesia,Saphesia,Saphesia_flaccida,Aizoaceae,PD
119,Scleletium,Phyllobolus,Scleletium_tortuosum,Aizoaceae,PD
120,Sesuvium,Sesuvium,Sesuvium_portulacastrum,Aizoaceae,PD
