"'Table 4-Rhododendron,","'rhododendron and azalea:","'variation in seed","'size among species","'and seed source","'",
"'","'","'","'Seed moisture","'Cleaned","'seeds/wt",
"'Species","'Seed source","'Elevation (m)","'content (%)","'/g","'/oz",
"'R. calendulaceum","'Watauga Co., North Carolina","'1,400","'6","'4,350","'122,000",
"'R. carolinianum","'Henderson Co., North Carolina","'720","'6","'29,460","'825,000",
"'","'Burke Co., North Carolina","'1,100","'4","'23,930","'670,000",
"'R. catawbiense","'Buncombe Co., North Carolina","'1,860","'7","'6,070","'170,000",
"'","'Buncombe Co., North Carolina","'1,860","'6","'6,070","'170,000",
"'","'Yancey Co., North Carolina","'1,954","'10","'6,780","'190,000",
"'","'Johnston Co., North Carolina","'67","'9","'5,700","'160,000",
"'","'Cherokee Co., Georgia","'320","'7","'5,000","'140,000",
"'R. chapmanii","'Gadsden-Liberty Cos., Florida","'-","'5.5","'29,100","'815,000",
"'R. macrophyllum","'Oregon","'-","'-","'4,460","'125,000",
"'R. maximum","'Avery, Co., North Carolina","'950","'6","'11,790","'330,000",
"'","'Avery, Co., North Carolina","'950","'5","'11,430","'320,000",
,,,,,

'Confidence Scores % (Table Cell)
"'94.87304688","'94.87304688","'94.87304688","'94.87304688","'94.87304688","'94.87304688",
"'92.28515625","'97.41210938","'95.70312500","'96.19140625","'91.40625000","'91.40625000",
"'92.28515625","'97.41210938","'95.70312500","'96.19140625","'87.30468750","'88.86718750",
"'89.64843750","'92.91992188","'89.94140625","'92.82226563","'88.96484375","'90.57617188",
"'55.66406250","'80.22460938","'77.68554688","'80.17578125","'76.80664063","'78.17382813",
"'55.66406250","'78.22265625","'75.73242188","'78.17382813","'74.85351563","'76.22070313",
"'70.31250000","'85.69335938","'82.95898438","'85.59570313","'81.98242188","'83.49609375",
"'70.31250000","'84.22851563","'81.54296875","'84.17968750","'80.61523438","'82.08007813",
"'70.31250000","'86.03515625","'83.25195313","'85.93750000","'82.32421875","'83.83789063",
"'70.31250000","'84.42382813","'81.73828125","'84.37500000","'80.81054688","'82.27539063",
"'70.31250000","'84.42382813","'81.73828125","'84.37500000","'80.81054688","'82.27539063",
"'86.13281250","'89.30664063","'86.47460938","'89.20898438","'85.44921875","'87.01171875",
"'88.33007813","'91.60156250","'88.67187500","'91.50390625","'87.64648438","'89.25781250",
"'57.66601563","'74.90234375","'72.50976563","'74.80468750","'71.67968750","'72.99804688",
"'57.66601563","'90.52734375","'87.64648438","'90.47851563","'86.66992188","'88.23242188",
