"'Table I-Ambrosia temperature on","'germination","'dumosa,","'bursage:","'effect","'of","'",
"'Temperature (C)","'2","'5","'10 15","'20","'25","'30",
"'Germination (%)","'0","'0","'4 26","'21","'18","'10",
,,,,,,

'Confidence Scores % (Table Cell)
""'42.16308594","'42.16308594","'42.16308594","'42.16308594","'46.38671875","'46.38671875","'46.38671875",
"'22.03369141","'17.85888672","'22.76611328","'30.83496094","'20.33691406","'23.86474609","'27.09960938",
"'23.07128906","'18.70117188","'23.85253906","'32.29980469","'21.30126953","'25.00000000","'28.39355469",
