"'Table I-Cedrus, cedar:","'nomenclature, occurrence,","'height at maturity, and date first","'cultivated","'",
"'Scientific name","'Common name","'Occurrence","'Height at maturity (m)","'Year first cultivated",
"'C. atlantica (Endl.) G. Manetti ex Carriere","'Atlas cedar","'In Algeria on Mts. Babor & Tababort & in Hodna Mtns; in Morocco in Rif Mtns (at 1,370-2,200 m); planted in US","'9-40","'Before 1840",
"'C. breviifolia (Hook. f.) A. Henry","'Cyprian cedar","'Two separate locations on Mt Paphos in western Cyprus (at 900-1,525 m)","'8-24","'1879",
"'C. deodara (Roxb. ex D. Don) G. Don F.","'deodar cedar","'E Afghanistan (Hindu Kush), NW Pakistan (Karakoram), NW India (Kashmir & Gharwal Himalaya), rare in Nepal (1,700-3,000 m in western range & 1,300-3,300 m in eastern range); planted in US","'15-50","'1831",
"'C. libani A. Rich.","'cedar of Lebanon","'In S Turkey (Taurus Mtns), also Syria (Djebel el Ansiriya) & Lebanon (Djebel Loubnan); disjunct relict population in N Turkey near Black Sea (at 1,300-3,000 m); planted in US","'15-40","'Pre-1650",
,,,,

'Confidence Scores % (Table Cell)
""'88.23242188","'88.23242188","'88.23242188","'88.23242188","'88.23242188",
"'92.38281250","'87.98828125","'95.06835938","'87.10937500","'93.45703125",
"'90.82031250","'86.47460938","'93.45703125","'85.64453125","'91.84570313",
"'79.98046875","'76.17187500","'82.32421875","'75.43945313","'80.95703125",
"'91.60156250","'87.20703125","'94.28710938","'86.37695313","'92.67578125",
"'92.08984375","'87.69531250","'94.77539063","'86.86523438","'93.16406250",
