"'Table I-Philadelphus, mockorange:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'P. lewisii Pursh P. californicus Benth. P. gordonianus Lindl. P. columbianus Koehne P. gordonianus var. columbianus Rehd.","'Lewis mock orange, Indian arrowwood, syringa*, wild mock orange","'British Columbia, SW Alberta, Washington, Oregon, Idaho N of the Snake River, Montana E of the Continental Divide, & N California",
"'P. microphyllus Gray P. nitidus A. Nels. P. stramineus Rydb.","'littleleaf mock orange, little-leaf mock orange, desert mockorange","'Idaho, Nevada, Utah, SE Wyoming, W Colorado, SE California, Arizona, New Mexico, W Texas, N Mexico",
,,

'Confidence Scores % (Table Cell)
"'85.00976563","'85.00976563","'85.00976563",
"'87.45117188","'86.32812500","'89.55078125",
"'44.65332031","'44.09179688","'45.72753906",
"'80.32226563","'79.29687500","'82.27539063",
