"'Table I-Pseudotsuga, Douglas-fir:","'nomenclature and occurrence","'",
"'Scientific name & synonyms","'Common name(s)","'Occurrence",
"'P. macrocarpa (Vasey) Mayr Abies douglasii var. macrocarpa Torr. A. macrocapa Vasey","'bigcone Douglas-fir, bigcone-spruce, desert-fir","'Mtns of SW California",
"'P. menziesii var. glauca (Beissn.) Franco P. douglasii var. glauca Mayr P. menziesii var. caesia (Schwerin) Franco P. taxifolia var. glauca (Beissn.) Sudworth","'interior Douglas-fir, blue Douglas-fir, Rocky Mountain Douglas-fir, Colorado Douglas-fir, inland Douglas-fir","'Central British Columbia & SW Alberta, S in mtns to N & central Mexico, from E Washington, Oregon, Nevada, & W Arizona to E Montana, Wyoming, Colorado, New Mexico, & NW Texas",
"'P. menziesii var. menziesii (Mirb.) Franco P. douglasii var. viridis Schwerin P. menziesii var. viridis (Schwerin) Franco P. mucronata (Raf.) Sudworth P. taxifolia (Lamb.) Britton","'coastal Douglas-fir, green Douglas-fir, Oregon Douglas-fir, Douglas-fir, Douglas-spruce","'SW British Columbia through Washington & Oregon to central California, E into Cascade & Sierra Nevada ranges to W Nevada",
,,

'Confidence Scores % (Table Cell)
"'87.54882813","'87.54882813","'87.54882813",
"'89.25781250","'86.66992188","'90.42968750",
"'83.64257813","'81.20117188","'84.71679688",
"'77.29492188","'75.04882813","'78.32031250",
"'90.62500000","'87.98828125","'91.79687500",
