"'Species","'Light","'Alternating temp","'Chilling","'Heat shock","'Dry storage","'Charate","'GA",
"'S. apiana","'+","'+","'+","'+","'+","'nd","'+",
"'S. mellifera","'+","'+","'+","'+","'nd","'+","'nd",
"'S. sonomensis","'nd","'nd","'+","'nd","'nd","'nd","'+",
,,,,,,,

'Confidence Scores % (Table Cell)
"'92.04101563","'85.74218750","'94.62890625","'89.94140625","'93.94531250","'93.75000000","'90.52734375","'92.23632813",
"'87.30468750","'81.29882813","'89.79492188","'85.30273438","'89.11132813","'88.91601563","'85.83984375","'87.45117188",
"'79.63867188","'74.21875000","'81.93359375","'77.83203125","'81.29882813","'81.15234375","'78.32031250","'79.83398438",
"'89.89257813","'83.74023438","'92.48046875","'87.84179688","'91.79687500","'91.60156250","'88.42773438","'90.08789063",
