"'Table 2-Amelanchier,","'serviceberry: phenology of","'flowering and fruiting","'",
"'Species","'Location","'Flowering","'Fruit ripening",
"'A. alnifolia","'-","'May-June","'July-Aug",
"'var. semiintegrifolia","'Oregon (520 m)","'Apr","'Aug",
"'","'Oregon (1,310 m)","'May","'-",
"'","'","'May","'Aug",
"'A. arborea","'-","'Mar-June","'June-Aug",
"'A. canadensis","'Carolinas","'Mar-April","'May-June",
"'","'","'May","'June",
"'A. laevis","'-","'Mar-June","'June-Aug",
"'A. sanguinea","'-","'May-June","'July-Sept",
,,,

'Confidence Scores % (Table Cell)
""'87.10937500","'87.10937500","'87.10937500","'87.10937500",
"'91.65039063","'91.65039063","'89.50195313","'93.11523438",
"'89.74609375","'89.74609375","'87.64648438","'91.21093750",
"'40.91796875","'82.76367188","'80.85937500","'84.13085938",
"'40.91796875","'83.93554688","'81.98242188","'85.30273438",
"'40.91796875","'77.73437500","'75.92773438","'79.00390625",
"'89.84375000","'89.84375000","'87.74414063","'91.30859375",
"'46.97265625","'81.54296875","'79.63867188","'82.86132813",
"'46.97265625","'73.29101563","'71.58203125","'74.46289063",
"'84.47265625","'84.47265625","'82.51953125","'85.83984375",
"'93.21289063","'93.21289063","'91.06445313","'94.72656250",
