"'","'","'Test conditions*","'","'","'","'","'","'","'",
"'","'Temp","'(C)","'","'Germination","'rate","'%","'Germination","'Purity","'Soundness",
"'Species","'Day","'Night","'Days","'%","'Days","'Avg","'Samples","'(%)","'(%)",
"'C. betulus","'20","'20","'70","'30","'7","'18-90","'50","'97","'60",
"'C. caroliniana","'27","'16","'60","'2","'12","'I-5","'2","'96","'62",
,,,,,,,,,

'Confidence Scores % (Table Cell)
""'60.83984375","'82.32421875","'82.32421875","'82.32421875","'70.65429688","'70.65429688","'70.89843750","'70.89843750","'53.12500000","'51.56250000",
"'60.83984375","'41.87011719","'41.87011719","'53.41796875","'70.65429688","'70.65429688","'70.89843750","'70.89843750","'53.12500000","'51.56250000",
"'60.83984375","'70.41015625","'82.27539063","'77.00195313","'81.29882813","'84.32617188","'83.49609375","'83.83789063","'53.12500000","'51.56250000",
"'70.36132813","'57.17773438","'66.79687500","'62.50000000","'66.01562500","'68.45703125","'67.77343750","'68.06640625","'66.01562500","'69.28710938",
"'82.71484375","'67.18750000","'78.46679688","'73.43750000","'77.53906250","'80.41992188","'79.63867188","'79.98046875","'77.53906250","'81.39648438",
