"'Table I-Baccharis, baccharis:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'B. angustifolia Michx.","'saltwater falsewillow, narrowleaf baccharis","'North Carolina S to Florida, W to Louisiana",
"'B. bigelovii Gray B. brachyphylla Gray","'Bigelow falsewillow shortleaf baccharis","'Arizona, New Mexico, & Texas Arizona, California, Nevada, New Mexico, & Texas",
"'B. dioica Vahl","'broombush falsewillow","'Florida, Puerto Rico, & the Virgin Islands",
"'B. douglasii DC","'saltmarsh baccharis","'California & Oregon",
"'B. emoryi Gray","'Emory baccharis","'Arizona, California, Nevada, Texas, & Utah",
"'B. glomeruliflora Pers.","'silverling","'North Carolina to Florida, also Mississippi",
"'B. halimifolia L. B. halimifolia var. angustion DC.","'eastern baccharis","'Connecticut to Maryland, North Carolina to Florida & W to Mississippi, Arkansas",
"'B. havardii Gray","'Harvard falsewillow","'Texas",
"'B. myrsinites (Lam.) Pers.","'Santo Domingo falsewillow","'Puerto Rico",
"'B. neglecta Britt.","'Rooseveltweed","'Arizona, New Mexico, & Oregon",
"'B. pilularis DC. B. pilularis ssp. consanguinea (DC.) C.B.Wolf B. pilularis var. consanguinea (DC.) Kuntze","'coyotebrush, kidneywort baccharis","'California, New Mexico, & Oregon",
"'B. plummerae Gray","'Plummer baccharis","'California",
"'B. pteronioides DC.","'yerba de pasmo","'Arizona, New Mexico, & Texas",
"'B. salicifolia (Ruiz & Pavon) Pers. B. viminea DC. Molina salicifolia Ruiz & Pavon B. glutiosa Pers.","'mulefat baccharis","'California E to Texas & Utah",
"'B. sarothroides Gray","'desertbroom","'Arizona, California, Nevada, & Utah",
"'B. sergiloides Gray","'squaw waterweed baccharis","'Arizona, California, Nevada, & Utah",
"'B. texana (Torr. & Gray) Gray Linosyris texana Torr. & Gray","'prairie falsewillow","'New Mexico, Oklahoma, & Texas",
"'B. thesioides Kunth","'Arizona baccharis","'Arizona & New Mexico",
"'B. vanessae Beauchamp B. glutinosa","'Encinitis falsewillow","'California",
"'B. wrightii Gray","'Wright baccharis","'Arizona & Utah, E to Kansas, Oklahoma, & Texas",
,,

'Confidence Scores % (Table Cell)
""'89.45312500","'89.45312500","'89.45312500",
"'95.06835938","'94.33593750","'95.89843750",
"'95.26367188","'94.53125000","'96.09375000",
"'38.84277344","'38.52539063","'39.18457031",
"'70.80078125","'70.26367188","'71.43554688",
"'74.85351563","'74.26757813","'75.48828125",
"'90.03906250","'89.30664063","'90.77148438",
"'92.62695313","'91.89453125","'93.45703125",
"'43.96972656","'43.60351563","'44.33593750",
"'84.03320313","'83.34960938","'84.71679688",
"'91.21093750","'90.47851563","'91.99218750",
"'88.72070313","'88.03710938","'89.50195313",
"'76.41601563","'75.78125000","'77.05078125",
"'73.19335938","'72.60742188","'73.82812500",
"'78.17382813","'77.53906250","'78.80859375",
"'70.31250000","'69.72656250","'70.89843750",
"'86.37695313","'85.64453125","'87.10937500",
"'83.34960938","'82.66601563","'84.08203125",
"'95.80078125","'95.01953125","'96.63085938",
"'83.34960938","'82.66601563","'84.08203125",
"'94.92187500","'94.18945313","'95.75195313",
"'94.87304688","'94.14062500","'95.70312500",
