"'Table 1-Salix, willow: nomenclature","'and occurrence","'",
"'Scientific name & synomyn(s)","'Common name","'Occurrence",
"'S. alaxensis (Anderss.) Coville","'feltleaf willow","'Throughout Alaska, Yukon Territory, & N British Columbia; scattered E across Canadian Arctic & S in Rocky Mtns. to Jasper National Park",
"'S. amygdaloides Anderss.","'peachleaf willow","'S Quebec, W to SE British Columbia, S to E Washington, Nevada, & Arizona, E to Kentucky & Pennsylvania",
"'S. arctica Pallas","'arctic willow","'Alaska E to Quebec, S to California,, N Europe, & Asia",
"'S. babylonica L.","'weeping willow","'China; naturalized from S Quebec, S Ontario, & S Vermont SW to Missouri, Georgia, & South Carolina",
"'S. bebbiana Sarg.","'Bebb willow","'Newfoundland, W to Hudson Bay & Alaska, S to New Mexico, N to Montana & E to lowa, Maryland, & New England",
"'S. boothii Dorn.","'Booth willow","'British Columbia to Alberta, S through Washington & Montana to New Mexico, Arizon, & California",
"'S. caroliniana Michx.","'coastal plain willow","'Maryland to E Kansas, S to E Texas & E to S Florida; also in Cuba",
"'S. discolor Muhl.","'pussy willow","'Labrador W to central British Columbia, S to Idaho, E to Delaware & in mtns. S to E Tennessee",
"'S. eriocephala Michx. S. cordata Muhl.; S. rigida Muhl.","'cordate willow","'S Newfoundland to E Saskatchewan & Montana, S to Kansas, E to Virginia",
"'S. exigua Nutt.","'coyote willow","'Montana, Alberta to British Columbia &Washington, S to S California, E to W Texas & W South Dakota",
"'S. geyerana Anderss.","'Geyer willow","'Montana W to British Columbia, S to California & Arizona; also Colorado & Wyoming",
"'S. glauca L.","'white willow","'Alaska, S to British Columbia & in Rocky Mtns to New Mexico & W Texas; also N Mexico",
"'S. interior Rowlee","'sandbar willow","'E Quebec, W to central interior Alaska, S to E Colorado & New Mexico, E to Louisiana, Tennessee, & Maryland; also N Mexico",
"'S. lasiolepis Benth.","'arroyo willow","'Idaho & Washington, S to S California, SE Arizona & W Texas; also N Mexico",
"'S. lucida Muhl. [incl. S. lasiandra Benth.]","'Pacific willow","'Saskatchewan to interior Alaska, S to S California; scattered E to New Mexico & N to Wyoming & Idaho",
"'S. lutea Nutt.","'yellow willow","'Manitoba & Saskatchewan, W to Yukon & British Columbia, S to E Washington & E Oregon & to S California, Arizona, & New Mexico; also E Nebraska & North Dakota",
"'S. nigra Marsh.","'black willow","'Maine to E Minnesota, S to E Kansas & S Texas, E to N Florida; also in N Mexico, Arizona, & California",
"'S. petiolaris Sm.","'meadow willow","'New Brunswick W to Alberta; scattered S to Colorado & E to New Jersey",
"'S. planifolia Pursh.","'diamondleaf willow","'Throughout Alaska & Yukon Territory, N British Columbia",
"'S. repens L.","'creeping willow","'Wet areas in Europe & Asia",
"'S. scouleriana Barratt ex Hook.","'Scouler willow","'E Manitoba to S Alaska, S to S California; scattered E to New Mexico & N to Montana",
,,

'Confidence Scores % (Table Cell)
"'79.93164063","'79.93164063","'79.93164063",
"'91.35742188","'89.20898438","'93.35937500",
"'95.16601563","'92.96875000","'97.26562500",
"'91.21093750","'89.06250000","'93.21289063",
"'74.16992188","'72.46093750","'75.83007813",
"'93.01757813","'90.82031250","'95.06835938",
"'93.21289063","'91.06445313","'95.31250000",
"'92.62695313","'90.47851563","'94.67773438",
"'70.55664063","'68.89648438","'72.11914063",
"'93.55468750","'91.40625000","'95.65429688",
"'94.38476563","'92.18750000","'96.48437500",
"'92.67578125","'90.52734375","'94.72656250",
"'93.70117188","'91.55273438","'95.80078125",
"'92.23632813","'90.08789063","'94.28710938",
"'94.77539063","'92.57812500","'96.87500000",
"'92.13867188","'89.99023438","'94.18945313",
"'91.16210938","'89.06250000","'93.16406250",
"'93.11523438","'90.91796875","'95.16601563",
"'91.89453125","'89.79492188","'93.94531250",
"'93.45703125","'91.30859375","'95.55664063",
"'78.66210938","'76.85546875","'80.41992188",
"'77.39257813","'75.58593750","'79.10156250",
"'94.33593750","'92.13867188","'96.43554688",
