"'","'","'","'","'","'","'","'","'",
"'","'","'","'Mean","'percentage of","'initially","'viable seeds","'","'",
"'Species","'0","'2 wk","'4 wk","'6 wk","'8 wk","'10 wk","'12 wk","'Samples",
"'P. glandulosa","'-","'-","'-","'93","'","'","'100","'1*",
"'","'10","'56","'81","'100","'65","'-","'32","'It",
"'P. mexicana","'6","'33","'83","'94","'100","'-","'-","'6",
"'","'6","'64","'91","'100","'32","'-","'19","'It",
"'P. tridentata","'2","'43","'88","'98","'100","'-","'-","'13",
"'","'13","'60","'100","'100","'36","'-","'37","'It",
,,,,,,,,

'Confidence Scores % (Table Cell)
"'35.98632813","'35.98632813","'35.98632813","'35.98632813","'35.98632813","'35.98632813","'35.98632813","'35.98632813","'35.98632813",
"'45.50781250","'63.18359375","'63.18359375","'63.18359375","'63.18359375","'63.18359375","'63.18359375","'63.18359375","'50.58593750",
"'45.50781250","'77.34375000","'91.40625000","'92.23632813","'92.43164063","'91.06445313","'92.57812500","'91.06445313","'50.58593750",
"'46.77734375","'75.78125000","'89.59960938","'90.42968750","'90.62500000","'89.25781250","'90.72265625","'89.25781250","'91.60156250",
"'46.77734375","'68.45703125","'80.85937500","'81.64062500","'81.78710938","'80.61523438","'81.93359375","'80.61523438","'82.71484375",
"'50.68359375","'68.60351563","'81.05468750","'81.83593750","'81.98242188","'80.76171875","'82.12890625","'80.76171875","'82.91015625",
"'50.68359375","'63.91601563","'75.53710938","'76.26953125","'76.41601563","'75.29296875","'76.51367188","'75.29296875","'77.24609375",
"'42.82226563","'68.16406250","'80.56640625","'81.29882813","'81.49414063","'80.27343750","'81.59179688","'80.27343750","'82.37304688",
"'42.82226563","'73.92578125","'87.35351563","'88.18359375","'88.37890625","'87.06054688","'88.47656250","'87.06054688","'89.35546875",
