"'Table I-Nyssa, tupelo: nomenclature,","'occurrence, and height","'","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence","'Height at maturity (m)",
"'N. aquatica L. N. uniflora Wangenh.","'water tupelo, tupelo-gum, sourgum, cotton-gum, swamp tupelo","'Coastal Plain from Virginia to N Florida & Texas N to Missouri & S Illinois","'24-30",
"'N. biflora Walt. N. sylvatica var. biflora (Walt.) Sarg. N. sylvatica var. ursina (Small) Wen & Stuessy","'swamp tupelo, blackgum, swamp, black-gum","'Coastal Plain, chiefly from Delaware to S Florida & E Texas, N to W Tennessee","'40",
"'N. ogeche Bartr. ex. Marsh. N. acuminata Small","'Ogeechee tupelo, Ogeechee-lime, sour tupelo, sour tupelo-gum, white tupelo","'Coastal Plain from South Carolina to NW Florida","'12-15",
"'N. sylvatica Marsh.","'black tupelo, blackgum, sourgum, tupelo-gum, pepperidge","'Maine W to Michigan & Missouri, S to E Texas & S Florida","'15-18",
,,,

'Confidence Scores % (Table Cell)
"'66.69921875","'66.69921875","'66.69921875","'66.69921875",
"'91.89453125","'92.13867188","'91.84570313","'90.77148438",
"'91.11328125","'91.40625000","'91.06445313","'89.99023438",
"'51.66015625","'51.85546875","'51.66015625","'51.07421875",
"'80.95703125","'81.20117188","'80.90820313","'79.98046875",
"'88.67187500","'88.96484375","'88.62304688","'87.59765625",
