"'Table 2-Psorothamnus,","'indigobush:","'seed","'weight, initial and best","'germination,","'and storability of seeds",
"'","'Seeds/weight","'","'Percentage","'germination","'",
"'Species","'/kg","'/lb","'Initial","'Best","'Storability",
"'P. emoryi","'600","'275","'58","'75","'Stores well",
"'P. fremontii","'35","'16","'41","'97","'50% hard seed, stores well",
"'P. polydenius","'460","'210","'2","'99","'90% hard seed, stores well",
"'P. schottii","'22","'10","'90","'88","'Good storage",
"'P. spinosus","'50","'23","'22","'58","'17-47% hard seed, stores well",
,,,,,

'Confidence Scores % (Table Cell)
"'94.14062500","'94.14062500","'94.14062500","'94.14062500","'94.14062500","'94.14062500",
"'71.77734375","'90.18554688","'90.18554688","'88.81835938","'88.81835938","'60.10742188",
"'71.77734375","'78.02734375","'84.81445313","'86.86523438","'80.46875000","'60.10742188",
"'90.77148438","'79.98046875","'86.96289063","'89.06250000","'82.51953125","'91.79687500",
"'81.73828125","'72.02148438","'78.27148438","'80.17578125","'74.31640625","'82.66601563",
"'84.47265625","'74.41406250","'80.90820313","'82.86132813","'76.75781250","'85.40039063",
"'82.81250000","'72.94921875","'79.34570313","'81.25000000","'75.29296875","'83.74023438",
"'91.74804688","'80.81054688","'87.84179688","'89.99023438","'83.39843750","'92.77343750",
