Species,Height at maturity (m),Year first cultivated,Minimum seed-bearing age (yr),Years between large seedcrops,pdf_table_number,genus_name
B. allenghaniensis,30,1800,40,2,NA,NA
B. davurica,19.5,1883,,2,NA,NA
B. lenta,24,1759,40,I-2,NA,NA
B. nana,1.8,1880,,,NA,NA
B. nigra,30,1736,,,NA,NA
B. papyrifera,21,1750,15,2,NA,NA
B. pendula,19.5,Long,15,2-3,NA,NA
B. populifolia,12,1750,8,I,NA,NA
B. pubescens,19.5,1789,15,2-3,NA,NA
B. pumila,3,1762,,I-2,NA,NA
