Species,Height at maturity (m),Year first cultivated,Minimum seed-bearing age (yrs),Years between seedcrops,pdf_table_number,genus_name
C. alba,30,1766,25,2-3,NA,NA
C. aquatica,30,1800,20,I-2,NA,NA
C. cordiformis,15-30,1689,30,3-5,NA,NA
C. glabra,24-27,1750,30,I-2,NA,NA
C. illinoensis,34-43,1766,10-20,I-2,NA,NA
C. laciniosa,37,1800,40,I-2,NA,NA
C. myristiciformis,24-30,,30,2-3,NA,NA
C. ovata,21-30,1911,40,I-3,NA,NA
C. pallida,12-30,,,2-3,NA,NA
