Species,Height at maturity (m),Year first cultivated,Minimum seed-bearing age (yr),Years between large seedcrops,pdf_table_number,genus_name
F. americana,21-24,1724,20,3-5,NA,NA
F. caroliniana,6-12,,,,NA,NA
F. dipetala,2-6,,,,NA,NA
F. excelsior,29-38,Long ago*,15,1-2,NA,NA
F. latifolia,18-24,,30,3-5,NA,NA
F. nigra,12-24,1800,,,NA,NA
F. ornus,6-20,pre-1700,20,,NA,NA
F. pennsylvanica,21+,1824,,,NA,NA
F. profunda,37,,9,,NA,NA
F. quadrangulata,4-9,1823,25,3-4,NA,NA
F. uhdei,37,1900,15,,NA,NA
F. velutina,15,1900,,,NA,NA
