Species,Mature height (m),Minimum seed-bearing age (yr),Years between large seedcrops,Cone length (cm),pdf_table_number,genus_name
P. macrocarpa,9-30,20*,,11-17,3,Pseudotsuga
P. menziesii var. glauca,23-49,20,3-10,4-7,3,Pseudotsuga
var. menziesii,27-91,7-10+,2-11,6-10,3,Pseudotsuga
