Species,Height at maturity (m),Year first cultivated,Minimum seed-bearing age (yrs),Years between large seedcrops,Color of ripe cones,pdf_table_number,genus_name
C. lawsoniana,to 73,1854,5-20,3-5,Greenish yellow to red brown,NA,NA
C. nootkatensis,to 53,1851,,4 or more,Yellow brown to red brown,NA,NA
C. thyoides,12-27,1727,3-20,I or more,"Greenish with glaucous bloom to bluish- purple & glaucous, finally red brown",NA,NA
