Species,(m),cultivated,age (yrs),crops,Ripe fruit color,Diameter,Length,pdf_table_number,genus_name
P. alleghaniensis,4.9,1889,4,I,Dark purple,10,,NA,NA
P. americana,3-9,1768,4,I-2,Red or yellowish,20-30,,NA,NA
P. angustifolia,4.3-7.6,~ 1874,2,,Red or yellow,10-20,,NA,NA
P. armeniaca,10.4,Early,5,2,Yellowish with red,30+,,NA,NA
P. avium,9-30.5,Early,6-7*,I,Yellow to red or purplish black,20-25,,NA,NA
P. caroliniana,5.5-12,,,,Black,10-13,10-13,NA,NA
P. cerasifera,8.2,Early,3,2-3,Red,16-25,,NA,NA
P. cerasus,9-15,Early,6-7*,I,Light to dark red,8-25,,NA,NA
P. domestica,9-12,Early,5,,Often blue-purple,30+,,NA,NA
P. d. var. insititia,6-7.6,Early,,,Yellow to bluish black,25+,15-20,NA,NA
P. dulcis,3-9,Early,"4-,----",I,Brownish,30+,30-60,NA,NA
P. emarginata,I-15,1918,,,Bright red,8-12,,NA,NA
P. fasciculata,I-2.4,,,,,13,,NA,NA
P. fremontii,1.5-3.7,,,,Yellowish,15-20,13,NA,NA
P. gracilis,4.6,,,,Red,13,,NA,NA
P. hortulana,9,,3,,Red to yellow,25,,NA,NA
P. ilicifolia,7.6-9,Pre-1925,3,,Purple or black,13-17,25,NA,NA
P. laurocerasus,5.5,,,,Purple to black,10,8-13,NA,NA
P. mahaleb,6-10,Early,3,I-2,Black,8-10,6-10,NA,NA
P. maritima,3,,3,,Purple,13-25,20,NA,NA
P. munsoniana,6-9,Pre-1909,3,,Red or yellow,20-30,15-25,NA,NA
P. padus,15,Early,,2,Black in typical variety,6-8,,NA,NA
P. pensylvanica,3-12,1773,2,,Light red,5-7,,NA,NA
P. persica,3-7.6,Early,3,I-2,Yellow to red,30-60,30-75,NA,NA
P. pumila,0.3-2.4,1756,,,Purple-black,10,10,NA,NA
P.var. besseyi,0.3-1.2,1892,2-3,,Purple to black,15,,NA,NA
P. serotina,15.3-33.5,1629,5,I-5,Black,7-10,6-10,NA,NA
P. spinosa,4,Early,,I-2,Blue-black,10-15,15,NA,NA
P. subcordata,3-7.6,~ 1850,,2,Red or yellow,20-30,15-30,NA,NA
P. tomentosa,1.8-3,1870,2-3,I-2,Red,10-31,15,NA,NA
P. umbellata,,,3,,"Black, red, yellow",10-15,10-13,NA,NA
P. virginiana,1.8-9,1724,,,Red-purple to dark purple,8,,NA,NA
