 Species,Height at maturity (m),Year first cultivated,Minimum seed-bearing age (yr),Years between large seedcrops,Fruit Preripe color,ripeness criteria Ripe color,pdf_table_number,genus_name
E. angustifolia,46-9,Long cultivated,>3,3,Whitish to silvery I,Silver-gray outer; emon-yellow inside,3,Elaeagnus
E. commutata,1.8-4.6,1813,,1-2,Silvery green,Silver,3,Elaeagnus
E. umbellata,0.9-3.7,1830,6,,"Silvery, with",Red-pink brown scales,3,Elaeagnus
