Species,Mature tree height (m),Year first cultivated,Age at onset seed bearing (yr),Years between cone crops,pdf_table_number,genus_name
P. albicaulis,6-33,1852,20-30,3-5,NA,NA
P. aristata,6-15,1861,20,102,NA,NA
P. arizonica,23-27,,15-20,2-3,NA,NA
P. armandii,18-37,1895,20,,NA,NA
P. attenuata,5-15,1847,5-8,I,NA,NA
P. balfouriana,11-18,1852,20,5-6,NA,NA
P. banksiana,17-30,"1783, earlier",3-15,3-4,NA,NA
P. brutia,20-30,,7-10,I,NA,NA
P. canariensis,30,,15-20,3-4,NA,NA
P. caribaea,18-30,,,,NA,NA
P. cembra,10-23,1746,25-30,6-10,NA,NA
P. cembroides,5-8,1830,,5-8,NA,NA
P. clausa,5-24,1832,5,1-2,NA,NA
P. contorta,,,,,NA,NA
var. contorta,6-12,1855,4-8,I,NA,NA
var. latifolia,8-46,1853,5-10,I,NA,NA
var. murrayana,15-30,,4-8,I,NA,NA
P. coulteri,9-23,1832,8-20,3-6,NA,NA
P. densiflora,21-37,1854,20-30,2,NA,NA
P. echinata,2-30,1726,5-20,3-10,NA,NA
P. edulis,3-12,1848,25-75,2-5,NA,NA
P. elliottii,,,,,NA,NA
var. densa,8-26,,8-12,I-5,NA,NA
var. elliottii,24-30,,7-10,3,NA,NA
P. engelmannii,15-21,,28-30,3-4,NA,NA
P. flexilis,6-24,1861,20-40,2-4,NA,NA
P. gerardiana,15-24,1839,,,NA,NA
P. glabra,24-27,,10,,NA,NA
P. halepensis,15-24,1683,15-20,I,NA,NA
P. heldreichii,18-30,1865,,,NA,NA
P. jeffreyi,18-55,1853,8,2-4,NA,NA
P. kesiya,30-46,,5-10,I,NA,NA
P. koraiensis,27-46,1861,15-40,I-5,NA,NA
P. lambertiana,30-69,1827,40-80,3-5,NA,NA
P. leiophylla var. chihuahuana,9-24,,28-30,3-4,NA,NA
P. merkusii,18-30,,10-20,I-2,NA,NA
P. monophylla,6-15,1848,20-25,I-2,NA,NA
P. monticola,27-61,1851,7-20,3-7,NA,NA
P. mugo,2-12,1779,10,|,NA,NA
P. muricata,12-27,1846,5-6,2-3,NA,NA
P. nigra,20-50,1759,15-40,2-5,NA,NA
P. palustris,24-37,1727,20,5-7,NA,NA
P. patula,18-34,,12-15,,NA,NA
P. parviflora,5-30,1861,,4-5,NA,NA
P. peuce,10-30,1863,12-30,3-4,NA,NA
P. pinaster,27-37,"1660, earlier",10-15,3-5,NA,NA
P. pinea,14-23,Long history,,,NA,NA
P. ponderosa var. ponderosa,18-70,1826,16-20,2-5,NA,NA
var. scopulorum,15-35,,6-20,2-5,NA,NA
P. pumila,0.3-2.5,1807,,,NA,NA
P. pungens,9-18,1804,5,,NA,NA
P. quadrifolia,5-9,1885,,I-5,NA,NA
P. radiata,2-46,1833,5-10,I,NA,NA
