"'Table","'2-Bauhinia, bauhinia: flower","'and fruit morphology","'","'",
"'Species","'Flowering time","'Petal color","'Fertile stamens/flower","'Legume",
"'B. monandra","'All year","'Pink with red dots","'I","'15-30 cm long, pointed at apex, twists as opens",
"'B. purpurea","'Autumn & winter","'Deep pink to purple","'3-4","'15-30 cm long, black, thin, twists as opens",
"'B. variegata","'Autumn to spring","'Purple variegated with red & yellow","'5-6","'13-30 cm long, thin, pointed on both ends",
,,,,

'Confidence Scores % (Table Cell)
""'89.11132813","'89.11132813","'89.11132813","'89.11132813","'89.11132813",
"'78.46679688","'82.32421875","'81.59179688","'83.05664063","'84.86328125",
"'77.39257813","'81.20117188","'80.41992188","'81.88476563","'83.69140625",
"'73.97460938","'77.63671875","'76.90429688","'78.32031250","'80.02929688",
"'88.08593750","'92.43164063","'91.55273438","'93.21289063","'95.26367188",
