"'Table I-Styrax, snowbell: nomenclature and","'occurrence","'",
"'Scientific name & synonyms(s)","'Common name(s)","'Occurrence",
"'S. americanus Lam. S. americanus var. pulverulentur (Michx.) Perkins ex Rehd. S. pulverulentus Michx.","'American snowbell, mock-orange*","'Virginia to Florida & Louisiana",
"'S. grandifolius Ait. S. japonicus Sieb. & Zucc.","'bigleaf snowbell Japanese snowbell, Japanese snowdrop tree, snowbell tree","'Virginia to Florida & Louisiana Japan, Korea, & China",
"'S. obassia Sieb. & Zucc.","'fragrant snowbell, bigleaf snowbell","'China, Japan, & Korea",
"'S. platanifolius Engelm. ex Torr. ssp. texanus (Cory) P.W. Fritsch","'Texas snowbell","'Texas",
,,

'Confidence Scores % (Table Cell)
"'85.79101563","'85.79101563","'85.79101563",
"'89.01367188","'86.13281250","'89.45312500",
"'92.33398438","'89.35546875","'92.77343750",
"'40.20996094","'38.91601563","'40.40527344",
"'71.09375000","'68.79882813","'71.43554688",
"'91.94335938","'89.01367188","'92.43164063",
