"'Table I-Platanus, sycamore:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'P. occidentalis L. P. occidentalis var. Sarg. glabrata (Fern.)","'American sycamore, American planetree, buttonwood, planetree, buttonball-tree","'Maine to lowa, S to central Texas & NW Florida; also in NW Mexico; planted in South Dakota, Colorado, Nebraska, & Kansas",
"'P orientalis L.","'oriental planetree","'SE Europe, W Asia to India; planted in US as an ornamental",
"'P. racemosa Nutt.","'California sycamore, California planetree, western sycamore, aliso","'Central to S California & into NW Mexico; below 1,200 m elevation",
,,

'Confidence Scores % (Table Cell)
"'88.62304688","'88.62304688","'88.62304688",
"'83.20312500","'83.10546875","'86.32812500",
"'78.71093750","'78.61328125","'81.64062500",
"'69.67773438","'69.62890625","'72.26562500",
"'88.18359375","'88.08593750","'91.45507813",
