"'Table 3-Platanus,","'sycamore: seed data","'","'","'","'","'",
"'","'","'","'Cleaned seeds/weight","'","'","'",
"'","'","'Range","'","'Average","'","'",
"'Species","'Place of collection","'/kg","'","'/kg","'","'Samples",
"'P. occidentalis","'Louisiana-Mississippi*","'294,370-589,620","'133,500-267,400","'426,160","'193,270","'100+",
"'","'SE US","'192,340-500,100","'87,2330-226,800","'330,530","'149,900","'28",
"'P. orientalis","'Denmark","'178,600-357,200","'81,000-162,000","'282,240","'128,000","'8",
"'","'United States","'249,160-370,440","'113,000-168,000","'308,700","'140,000","'2+",
,,,,,,

'Confidence Scores % (Table Cell)
"'88.23242188","'88.23242188","'88.23242188","'88.23242188","'88.23242188","'88.23242188","'88.23242188",
"'64.40429688","'63.62304688","'78.12500000","'78.12500000","'78.12500000","'78.12500000","'78.12500000",
"'64.40429688","'63.62304688","'85.10742188","'85.10742188","'82.03125000","'82.03125000","'83.49609375",
"'64.40429688","'63.62304688","'89.45312500","'90.67382813","'86.37695313","'87.50000000","'83.49609375",
"'63.23242188","'75.83007813","'75.09765625","'76.12304688","'72.55859375","'73.48632813","'76.66015625",
"'63.23242188","'70.36132813","'69.67773438","'70.65429688","'67.33398438","'68.21289063","'71.09375000",
"'69.18945313","'77.24609375","'76.51367188","'77.58789063","'73.92578125","'74.90234375","'78.07617188",
"'69.18945313","'85.20507813","'84.42382813","'85.54687500","'81.54296875","'82.61718750","'86.13281250",
