"'Table 6-Ribes, currant,","'gooseberry:","'pregermination treatments","'and germination","'test results","'",
"'","'","'Pregermination treatment","'Germination under test","'","'Germination",
"'Species","'Temp (C)","'Days","'conditions* (%)","'capacity+ (%)","'Samples",
"'R. alpinum","'0 to 10","'90+","'80","'-","'10",
"'R. americanum","'-2 to 2","'90-120","'68","'76","'39",
"'R. aureum","'-2 to 2","'60","'60","'63","'19",
"'R. aureum var. villosum","'20/0 (D/N)","'120","'94","'98","'3",
"'R. cereum","'-2 to 0","'120-150","'61","'72","'61",
"'R. cynosbati","'-2 to 5","'90-150","'69","'72","'19",
"'R. hudsonianum","'NP","'NP","'57","'85","'116",
"'","'0 to 2","'90-120","'69","'76","'42",
"'R. inerme","'0","'120-200","'60","'74","'54",
"'R. lacustre","'0","'120-200","'48","'61","'64",
"'R. missouriense","'-2 to 5","'90+","'73","'-","'3",
"'R. montigenum","'0","'200-300","'53","'","'6",
"'","'0","'120-150","'8","'33","'15",
"'R. nevadense","'0","'120","'78","'87","'43",
"'R. oxyacanthoides ssp. irriguum","'0 to 5","'90","'79","'81","'II",
"'R. roezlii","'0","'100-150","'80","'87","'200",
"'R. rotundifolia","'-2 to 0","'90+","'80","'81","'10",
"'R. sanguineum","'0-2","'100-140","'61","'64","'55",
"'R. viscosissimum","'-2 to 0","'140","'58","'67","'88",
,,,,,

'Confidence Scores % (Table Cell)
"'90.96679688","'90.96679688","'90.96679688","'90.96679688","'90.96679688","'90.96679688",
"'54.78515625","'92.23632813","'92.23632813","'56.00585938","'83.59375000","'83.59375000",
"'54.78515625","'84.03320313","'86.96289063","'56.00585938","'83.34960938","'83.00781250",
"'92.87109375","'87.50000000","'90.52734375","'93.50585938","'86.76757813","'86.42578125",
"'84.57031250","'79.68750000","'82.47070313","'85.15625000","'79.05273438","'78.71093750",
"'91.11328125","'85.88867188","'88.86718750","'91.79687500","'85.20507813","'84.81445313",
"'85.59570313","'80.66406250","'83.44726563","'86.18164063","'79.98046875","'79.63867188",
"'90.96679688","'85.69335938","'88.67187500","'91.60156250","'85.00976563","'84.66796875",
"'89.16015625","'83.98437500","'86.91406250","'89.74609375","'83.34960938","'82.95898438",
"'67.91992188","'63.96484375","'66.21093750","'68.35937500","'63.47656250","'63.18359375",
"'64.35546875","'60.64453125","'62.74414063","'64.79492188","'60.15625000","'59.86328125",
"'89.06250000","'83.88671875","'86.81640625","'89.64843750","'83.25195313","'82.86132813",
"'90.77148438","'85.49804688","'88.47656250","'91.40625000","'84.81445313","'84.47265625",
"'89.06250000","'83.88671875","'86.81640625","'89.64843750","'83.25195313","'82.86132813",
"'70.99609375","'66.89453125","'69.18945313","'71.48437500","'66.35742188","'66.06445313",
"'63.72070313","'60.05859375","'62.10937500","'64.16015625","'59.57031250","'59.32617188",
"'90.38085938","'85.15625000","'88.08593750","'91.01562500","'84.47265625","'84.13085938",
"'89.45312500","'84.32617188","'87.20703125","'90.08789063","'83.64257813","'83.30078125",
"'85.83984375","'80.90820313","'83.69140625","'86.47460938","'80.27343750","'79.93164063",
"'90.18554688","'84.96093750","'87.93945313","'90.82031250","'84.32617188","'83.93554688",
"'84.37500000","'79.54101563","'82.27539063","'84.96093750","'78.90625000","'78.56445313",
"'93.84765625","'88.42773438","'91.50390625","'94.48242188","'87.74414063","'87.35351563",
