"'Table I-Eucalyptus, eucalyptus:","'nomenclature and natural and","'extended ranges","'",
"'Scientific name & synonym(s)","'Common name(s)","'Natural range","'Extension",
"'E. camaldulensis Dehnhardt E. rostrata Schldl.","'river redgum eucalyptus, red-gum, long-beak eucalyptus","'Australia","'California, Hawaii, & Arizona",
"'E. citriodora Hook.","'lemon-gum eucalyptus, lemon eucalyptus, lemon-gum","'Central & N Queensland, Australia","'California & Hawaii",
"'E. dalrympleana Maiden","'mountain-gum eucalyptus, white-gum, dalrymple eucalyptus","'SE Australia","'California & Hawaii",
"'E. delegatensis R.T. Baker E. gigantea Hook. f.","'alpine-ash eucalyptus, delegate eucalyptus","'SE Australia","'California",
"'E. fastigata H. Deane & Maiden","'brown-barrel eucalyptus, cuttail eucalyptus","'SE Australia","'California",
"'E. glaucescens Maiden & Blakey","'tingiringy-gum","'SE Australia","'California",
"'E. globulus Labill.","'bluegum eucalyptus, bluegum, Tasmania bluegum, Tasmanian blue eucalyptus","'SE Australia","'California, Hawaii, & Arizona",
"'E. grandis W. Hill ex Maiden","'rosegum eucalyptus, tooler eucalyptus.","'E Australia","'California, Florida, & Hawaii",
"'E. microcorys F. Muell.","'tallowwood eucalyptus","'E Australia","'California",
"'E. nitens (H. Deane & Maiden) Maiden","'shining eucalyptus, silver-top shining-gum","'SE Australia","'California & Hawaii",
"'E. obliqua L'Her.","'messmate stringybark eucalyptus","'SE Australia","'California",
"'E. paniculata Sm.","'gray ironbark eucalyptus, ironbark","'E Australia","'California & Hawaii",
"'E. pilularis Sm.","'blackbutt eucalyptus","'E Australia","'California & Hawaii",
"'E. regnans F. Muell.","'mountain-ash eucalyptus, swamp-gum giant eucalyptus","'SE Australia","'California",
"'E. robusta Sm. E. miltiflora Poir.","'robusta eucalyptus, swamp-mahogany, beakpod eucalyptus","'E Australia","'California, Florida, Hawaii, & West Indies",
"'E. rudis Sm.","'desert eucalyptus, moitch eucalyptus, desert-gum","'W Australia","'California & Florida",
"'E. saligna Sm.","'saligna eucalyptus, Sidney bluegum eucalyptus, flooded-gum","'E Australia","'California & Hawaii",
"'E. sideoxylon A. Cunningham","'red ironbark eucalyptus, mulga ironbark eucalyptus, red-ironbark","'SE Australia","'California & Hawaii",
"'E. viminalis Labill.","'manna eucalyptus, ribbon eucalyptus, white-gum, ribbongum","'SE Australia","'California & Hawaii",
,,,

'Confidence Scores % (Table Cell)
""'84.86328125","'84.86328125","'84.86328125","'84.86328125",
"'95.31250000","'95.26367188","'93.31054688","'95.01953125",
"'91.11328125","'91.06445313","'89.20898438","'90.86914063",
"'88.37890625","'88.33007813","'86.52343750","'88.08593750",
"'92.67578125","'92.67578125","'90.77148438","'92.43164063",
"'87.98828125","'87.93945313","'86.13281250","'87.69531250",
"'89.06250000","'89.01367188","'87.20703125","'88.81835938",
"'87.06054688","'87.01171875","'85.25390625","'86.81640625",
"'95.50781250","'95.45898438","'93.50585938","'95.21484375",
"'94.04296875","'93.99414063","'92.04101563","'93.75000000",
"'82.91015625","'82.91015625","'81.20117188","'82.66601563",
"'79.10156250","'79.05273438","'77.44140625","'78.85742188",
"'81.39648438","'81.34765625","'79.68750000","'81.15234375",
"'94.33593750","'94.28710938","'92.33398438","'94.04296875",
"'81.15234375","'81.10351563","'79.44335938","'80.90820313",
"'90.62500000","'90.62500000","'88.72070313","'90.38085938",
"'95.60546875","'95.55664063","'93.60351563","'95.31250000",
"'90.52734375","'90.47851563","'88.62304688","'90.23437500",
"'91.30859375","'91.25976563","'89.40429688","'91.06445313",
"'90.82031250","'90.77148438","'88.91601563","'90.57617188",
"'95.26367188","'95.21484375","'93.26171875","'94.97070313",
