"","assigned","paper"
"1","AZ","lee06"
"2","AZ","klinger20"
"3","AZ","keul04"
"4","DL","leinonen97"
"5","DL","tamaei01"
"6","DM","grose57"
"7","DM","guan89"
"8","DM","guo06"
"9","DM","reinert18"
"10","DM","riasat05"
"11","DM","rizwan18"
"12","DM","shi09"
"13","DM","skordilis95"
"14","DM","soltani03"
"15","DM","song19"
"16","DM","song20"
"17","DM","statton17"
"18","DM","strazisar13"
"19","DM","su16"
"20","DM","suh98"
"21","DM","sumi94"
"22","DM","veiga-barbosa16"
"23","DM","vleeshouwers98"
"24","DM","vogiatzis95"
"25","DM","wagner07"
"26","DM","wahid07"
"27","DM","walck12"
"28","DM","wang18"
"29","DM","wang15"
"30","DM","wang21"
"31","GG","ahn00"
"32","GG","aiello04"
"33","GG","amooaghaie06"
"34","GG","carron08"
"35","GG","castro95"
"36","GG","chakraborty92"
"37","GG","chang06"
"38","GG","ikeda01"
"39","GG","이수광14"
"40","GG","lempiainen89"
"41","GG","leon06"
"42","GG","leskova69"
"43","GG","li18"
"44","GG","li11"
"45","GG","li07"
"46","GG","li17"
"47","GG","li14"
"48","GG","li21"
"49","GG","li22"
"50","GG","li11"
"51","GG","liao16"
"52","GG","liao10"
"53","GG","lim15"
"54","GG","limbird13"
"55","GG","lin96"
"56","GG","lin93"
"57","GG","liu16"
"58","GG","liu12"
"59","GG","liu04"
"60","HHN","elisafenko15"
"61","HHN","feurtado05"
"62","HHN","serry12"
"63","HHN","shen20"
"64","HHN","wang09"
"65","HHN","washitani89"
"66","HHN","washitani85"
"67","HHN","watanabe02"
"68","HHN","watanabe22"
"69","HHN","wawrzyniak20"
"70","HHN","werner13"
"71","MN","ochuodho08"
"72","MN","rodriguez17"
"73","MN","rouhi15"
"74","MN","tang10"
"75","MN","tilki06"
"76","MN","yang17"
"77","MN","yang18"
"78","MN","yang10"
"79","MN","yang11"
"80","MN","yang20"
"81","MN","yang14"
"82","MN","yang08"
"83","MN","yang06"
"84","MN","yang04"
"85","SC","kalimuthu95"
"86","SC","kazinczi98"
"87","SC","liu04"
"88","SC","liu13"
"89","SC","olmez08"
"90","SC","patino11"
"91","TA","chien09"
"92","TA","nasri14"
"93","TA","sacande04"
"94","TA","saeed16"
"95","TA","sajna19"
"96","TA","salehi-eskandari21"
"97","TA","salehi15"
"98","TA","santos19"
"99","TA","sato03"
"100","TA","sayedena18"
"101","TA","schafer89"
"102","TA","schutz02"
