"'Table I-Solanum","'dulcamara, bitter nightshade:","'pregermination treatments","'and germination","'",
"'Storage","'Stratification","'Germination","'conditions*","'Total",
"'(months)","'(days)","'Days","'Temp (C)","'germination (%)",
"'0","'0","'ND","'20/30","'95",
"'3","'0","'ND","'20/30","'95",
"'6","'0","'ND","'20/30","'95",
"'0","'0","'ND","'25","'5",
"'I","'I","'ND","'25","'80",
"'3","'3","'ND","'25","'85",
"'6","'6","'ND","'25","'75",
"'0","'0","'ND","'15","'0",
"'I","'I","'ND","'15","'5",
"'3","'3","'ND","'15","'30",
"'6","'6","'ND","'15","'65",
,,,,

'Confidence Scores % (Table Cell)
"'93.65234375","'93.65234375","'93.65234375","'93.65234375","'93.65234375",
"'95.16601563","'96.19140625","'89.99023438","'89.99023438","'94.67773438",
"'95.16601563","'96.19140625","'88.18359375","'90.42968750","'94.67773438",
"'88.13476563","'90.82031250","'86.71875000","'88.86718750","'90.23437500",
"'82.95898438","'85.44921875","'81.59179688","'83.69140625","'84.96093750",
"'88.18359375","'90.91796875","'86.81640625","'88.96484375","'90.33203125",
"'85.98632813","'88.62304688","'84.61914063","'86.76757813","'88.08593750",
"'84.81445313","'87.40234375","'83.49609375","'85.59570313","'86.91406250",
"'86.18164063","'88.81835938","'84.81445313","'86.91406250","'88.28125000",
"'85.25390625","'87.84179688","'83.88671875","'85.98632813","'87.30468750",
"'87.59765625","'90.28320313","'86.18164063","'88.37890625","'89.74609375",
"'81.88476563","'84.37500000","'80.56640625","'82.61718750","'83.88671875",
"'81.93359375","'84.42382813","'80.61523438","'82.66601563","'83.93554688",
"'90.33203125","'93.06640625","'88.86718750","'91.11328125","'92.52929688",
