"'Table 3-Euonymus,","'euonymus: phenology of","'flowering and fruiting","'",
"'Species","'Location","'Flowering","'Fruit ripening",
"'E. alata","'New England & Japan","'May-June","'Sept-Oct",
"'E. americana","'Carolinas","'May-June","'Sept-Oct",
"'E. atropurpurea","'-","'May-June","'Sept-Oct",
"'E. bungeana","'NE US","'June","'Sept-Oct",
"'E. europaea","'NE US & Europe","'May-June","'Aug-Nov",
"'E. hamiltoniana ssp. maackii","'NE US","'June","'Oct",
"'E. obovata","'","'April-June","'Aug-Oct",
"'E. verrucosa","'NE US & Germany","'May-June","'Aug-Oct",
,,,

'Confidence Scores % (Table Cell)
""'91.21093750","'91.21093750","'91.21093750","'91.21093750",
"'90.57617188","'93.75000000","'92.96875000","'94.62890625",
"'87.20703125","'90.23437500","'89.50195313","'91.11328125",
"'81.00585938","'83.83789063","'83.10546875","'84.61914063",
"'84.86328125","'87.84179688","'87.10937500","'88.67187500",
"'85.00976563","'87.98828125","'87.25585938","'88.81835938",
"'85.44921875","'88.42773438","'87.64648438","'89.25781250",
"'91.40625000","'94.58007813","'93.79882813","'95.50781250",
"'81.15234375","'83.98437500","'83.25195313","'84.76562500",
"'87.93945313","'91.01562500","'90.23437500","'91.89453125",
