"'Table Pinus, pine: nomenclature","'and occurrence (continued)","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'P. palustris P. Mill. P. australis Michx. f.","'longleaf pine, southern pine, longstraw pine","'Coastal plains of SE Virginia to central Florida, W to N Louisiana, E Texas",
"'P. parviflora Sieb. & Zucc. P. pentaphylla Mayr P. himekomatsu Miyabe & Kudo","'Japanese white pine","'Mtns of Japan (Kyushu, Tsushima, Shikoku, Honshu, Sado, & S Hokkaido); South Korea (Ullung Island)",
"'P. patula Schiede ex Schtdl. & Cham.","'Mexican weeping pine","'Sierra Madre Oriental, Mexico; central Oaxaca N to Querétaro, SW Tamaulipas; Guatemala, El Salvador, Honduras, Nicaragua",
"'P. peuce Griseb. P. excelsa var. peuce (Griseb.) Beissn.","'Balkan pine, Macedonian pine, Greek stone pine","'High elevations of Balkan Peninsula: SW Yugoslavia, E Albania, SW Bulgaria, extreme N Greece",
"'P. pinaster Aiton P. maritima Poir.","'maritime pine, cluster pine, pinaster pine","'SW Europe & Mediterranean Basin: Iberian Peninsula, SE France + Corsica; W Italy + Sardinia & Pantalleria; Morocco, coastal E Algeria",
"'P. pinea L.","'Italian stone pine, umbrella pine, stone pine","'Iberian Peninsula& Mediterranean Coast of France, W Italy, Albania, Greece, Turkey; NE Turkey; Lebanon; Ibiza, Majorca; Sardinia, Sicily; Corfu, Crete, & Cyprus",
"'P. ponderosa var. ponderosa P. & C. Lawson.","'Pacific ponderosa pine, western yellow pine, bull pine, rock pine, blackjack pine","'Sierra Nevada-Cascade Mtns, coastal & transverse- peninsular ranges, Klamath Mtns; California to W Nevada, N through Oregon, Washington, Idaho, W Montana, to S British Columbia",
"'P. ponderosa var. scopulorum Engelm.","'Rocky Mountain ponderosa pine, western yellow pine, blackjack pine","'Rocky Mtns, Sierra Madre Oriental; Montana, SW North Dakota S in Wyoming, Colorado, New Mexico, trans-Pecos Texas to Coahuila, San Luis Potosi; E to central Nebraska; W in Utah, Arizona to Nevada",
"'P. pumila Regel P. cembra var. pumila Pall.","'Japanese stone pine, dwarf Siberian pine","'NE Asia; E Siberia, Lake Baikal, Lena River regions E to Bering Sea & Sea of Okhotsk; N Mongolia; E Manchuria to South Korea; Sakhalin; Kamchatka, Kuril Islands to central Honshu, Japan",
"'P. pungens Lamb.","'Table Mountain pine, hickory pine, mountain pine, prickly pine","'Appalachian Mtns of SW Pennsylvania, W Maryland through E West Virginia, W Virginia to E Tennessee, W North Carolina, extreme NE Georgia",
"'P. quadrifolia Parl. ex Sudworth","'Parry pinyon, nut pine, pinyon","'Semiarid, low elevations of San Jacinto Mtns, SW California, S to Sierra San Pedro Mártir, Baja",
"'P radiata D. Don P. insignis Dougl.","'Monterey pine, radiata pine, insignis pine","'Coastal central California, in Año Nuevo Point, Monterey, & Cambria areas; Cedros Island & N Guadalupe Island, Mexico",
"'P. resinosa Soland.","'red pine, Norway pine, hard pine, pitch pine","'Great Lakes region, Appalachian Mtns; SE Manitoba E to Nova Scotia, N Newfoundland; S to Wisconsin, N Illinois, Pennsylvania, New Jersey; NE West Virginia",
"'P. rigida P. Mill.","'pitch pine, hard pine, bull pine","'Appalachian Mtns in N Georgia, Kentucky, E Tennessee N through Pennsylvania, Delaware to SE Ontario, & central Maine",
"'P. roxburghii Sarg. P. longifolia Roxb.","'Chir pine, longleaf Indian pine","'Himalayas, monsoon belt; N Pakistan E through N India, Nepal, Sikkim, Bhutan",
"'P sabiniana Dougl. ex Dougl.","'Digger pine, bull pine, gray pine","'Dry slopes, low-mid elevations; California, in S Klamath Mtns, coastal ranges, Cascade Mtns-Sierra Nevada",
"'P. serotina Michx. P. rigida var. serotina (Michx.) Clausen","'pond pine, marsh bay pine, pocosin pine","'SE US, coastal plains of central & N Florida N to lower New Jersey, \ to central & SE Alabama",
"'P. sibirica Du Tour P. cembra var. sibirica Loud.","'Siberian stone pine","'Ural Mtns of Russia, E across central Siberia to Stanovoy Mtns, S through Sayan Mtns, Lake Baikal region to N Mongolia",
"'P. strobiformis Engelm. P. flexilis var. reflexa Engelm. P. reflexa (Engelm.) Engelm. P. ayacahuite var. brachyptera Shaw","'southwestern white pine, border limber pine, Mexican white pine","'Sierra Madre Occidental & Oriental; S Rocky Mtns; Durango, central Mexico N to E Arizona, SW San Luis Potosi N to extreme W Texas, N through New Mexico to SW Colorado",
,,

'Confidence Scores % (Table Cell)
"'84.71679688","'84.71679688","'84.71679688",
"'94.18945313","'92.72460938","'94.92187500",
"'94.67773438","'93.21289063","'95.45898438",
"'91.45507813","'90.03906250","'92.18750000",
"'90.82031250","'89.40429688","'91.55273438",
"'93.06640625","'91.65039063","'93.79882813",
"'94.53125000","'93.11523438","'95.31250000",
"'94.58007813","'93.11523438","'95.36132813",
"'94.77539063","'93.31054688","'95.55664063",
"'94.67773438","'93.21289063","'95.45898438",
"'93.45703125","'91.99218750","'94.18945313",
"'91.11328125","'89.69726563","'91.84570313",
"'83.15429688","'81.83593750","'83.78906250",
"'94.14062500","'92.67578125","'94.87304688",
"'94.18945313","'92.72460938","'94.92187500",
"'90.03906250","'88.62304688","'90.72265625",
"'91.06445313","'89.64843750","'91.79687500",
"'94.72656250","'93.26171875","'95.50781250",
"'86.66992188","'85.35156250","'87.35351563",
"'91.21093750","'89.79492188","'91.94335938",
"'94.53125000","'93.06640625","'95.26367188",
