"'Table I-Bauhinia, bauhinia: nomenclature,","'occurrence, and uses","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'B. megalandra Griseb. B. multinervia (Kunth) DC.","'bauhinia petite flambouyant","'Carribean basin",
"'B. monandra Kurz B. kappleri Sagot Caspareopsis monandra (Kurz) Britt. & Rose","'butterfly bauhinia, pink bauhinia, pink orchidtree","'Native of SE Asia; planted in Hawaii, escaped & naturalized in Puerto Rico & throughout the West Indies",
"'B. purpurea L. Phanera purpurea (L.) Benth. Caspareopsis purpurea (L.) Pittier","'purple bauhinia","'Native of SE Asia from India to China; planted in Florida, Hawaii, Puerto Rico, the Virgin Islands, & elsewhere in tropical America",
"'B. variegata L.","'orchidtree, poor-man's-orchid, mountain-ebony","'Native from India to China; planted in Florida & Hawaii; escaped & naturalized in Puerto Rico & the Virgin Islands",
,,

'Confidence Scores % (Table Cell)
""'81.10351563","'81.10351563","'81.10351563",
"'90.33203125","'85.30273438","'91.55273438",
"'63.18359375","'59.61914063","'64.01367188",
"'72.94921875","'68.84765625","'73.92578125",
"'75.00000000","'70.80078125","'75.97656250",
"'90.47851563","'85.44921875","'91.69921875",
