"'Table I -Taxodium, baldcypress:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'T. ascendens Brongn. T. distichum var. imbricarium (Nutt.) Croom T. distichum var. nutans (Ait.) Sweet","'pondcypress, pond baldcypress, cypress","'Coastal plain from Virginia to Florida & Louisiana",
"'T. distichum (L.) Rich.","'baldcypress, common bald cypress, gulf cypress, red cypress, tidewater red cypress, white cypress, yellow cypress, cypress","'Coastal plain from Delaware & Florida W to Texas & N to Illinois in Mississippi River Valley; planted from Michigan to Massachusetts",
,,

'Confidence Scores % (Table Cell)
"'86.32812500","'86.32812500","'86.32812500",
"'86.57226563","'85.59570313","'87.59765625",
"'83.69140625","'82.76367188","'84.66796875",
"'93.31054688","'92.28515625","'94.43359375",
