"'Table 4-Chamaecyparis,","'white-cedar:","'seed yield data","'","'","'",
"'","'","'","'Cleaned seeds/weight","'","'",
"'","'Seed wt/","'Range","'","'Average","'",
"'Species","'cone wt","'/kg","'/lb","'/kg","'/lb",
"'C. lawsoniana","'20","'176,400-1,323,000","'80,000-600,000","'463,000","'210,000",
"'C. nootkatensis","'-","'145,500-396,900","'66,000-180,000","'238,140","'108,000",
"'C. thyoides*","'20","'926,100-1,102,500","'420,000-500,000","'1,014,300","'460,000",
,,,,,

'Confidence Scores % (Table Cell)
""'95.41015625","'95.41015625","'95.41015625","'95.41015625","'95.41015625","'95.41015625",
"'62.50000000","'69.33593750","'81.25000000","'81.25000000","'81.25000000","'81.25000000",
"'62.50000000","'69.33593750","'87.10937500","'87.10937500","'84.22851563","'84.22851563",
"'62.50000000","'69.33593750","'87.54882813","'88.81835938","'86.76757813","'87.20703125",
"'90.82031250","'88.47656250","'89.35546875","'90.67382813","'88.57421875","'89.01367188",
"'78.41796875","'76.36718750","'77.09960938","'78.27148438","'76.41601563","'76.85546875",
"'90.42968750","'88.03710938","'88.91601563","'90.23437500","'88.13476563","'88.62304688",
