"'Table -Chamaecyparis, white-cedar:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'C. lawsoniana (A. Murr.) Parl. Cupressus lawsoniana A. Murr.","'Port-Orford-cedar, false cypress, Lawson cypress, Oregon-cedar, Port-Orford white-cedar","'SW Oregon (Coos Bay) S to NW California (Klamath River)",
"'C. nootkatensis (D. Don.) Spach Cupressus nootkatensis D. Don","'Alaska-cedar, yellow-cedar, Alaska yellow-cedar, Nootka yellow-cypress, Sitka cypress, yellow cypress","'Pacific Coast region from Prince William Sound, Alaska, SW to W British Columbia & W Washington, & S in Cascade Mtns to W & NW & SW British Columbia to California; local in NE Oregon",
"'C. thyoides (L.) B.S.P. Cupressus thyoides L","'Atlantic white-cedar, white-cedar, swamp-cedar, southern white-cedar","'Narrow coastal belt from S Maine to N Florida, W to S Mississippi",
,,

'Confidence Scores % (Table Cell)
""'85.98632813","'85.98632813","'85.98632813",
"'87.45117188","'87.35351563","'89.06250000",
"'88.42773438","'88.33007813","'90.03906250",
"'91.55273438","'91.45507813","'93.21289063",
"'91.25976563","'91.16210938","'92.96875000",
