"'Table 2-Cotoneaster,","'cotoneaster:","'phenology of flowering and","'fruiting","'",
"'Species","'Location","'Flowering","'Fruit ripening","'Seed dispersal",
"'C. acutifolius","'N Great Plains","'May-June","'Sept-Oct","'Sept-winter",
"'C. apiculatus","'S Michigan","'May-June","'Aug-Sept","'Fall-winter",
"'C. horizontalis","'-","'June","'Sept-Nov","'Sept-winter",
"'C. integerrimus","'Great Plains","'May-June","'Aug-Sept","'-",
"'C. lucidus","'North Dakota","'May-June","'Sept","'-",
"'C. niger","'-","'May-June","'-","'-",
,,,,

'Confidence Scores % (Table Cell)
""'93.31054688","'93.31054688","'93.31054688","'93.31054688","'93.31054688",
"'90.13671875","'90.67382813","'90.47851563","'92.28515625","'92.72460938",
"'85.64453125","'86.13281250","'85.93750000","'87.69531250","'88.08593750",
"'80.81054688","'81.29882813","'81.15234375","'82.76367188","'83.15429688",
"'83.88671875","'84.37500000","'84.22851563","'85.88867188","'86.32812500",
"'83.44726563","'83.93554688","'83.74023438","'85.44921875","'85.83984375",
"'85.54687500","'86.03515625","'85.88867188","'87.59765625","'87.98828125",
"'88.96484375","'89.45312500","'89.25781250","'91.06445313","'91.50390625",
