"'Table 2-Syringa, lilac:","'phenology of flowering and","'fruiting","'",
"'Species","'Location","'Flowering","'Fruit ripening",
"'S. X persica","'NE US, Kansas","'May-June","'Late Mar-Apr",
"'S. reticulata var. amurensis","'North Dakota","'Early June","'-",
"'","'Manitoba","'June-July","'Sept-Oct",
"'S. vulgaris","'NE US & Europe","'Apr-June","'Aug-Oct",
"'","'Kansas","'Late Mar-early May","'",
"'","'W US","'Late Mar-mid-May*","'-",
,,,

'Confidence Scores % (Table Cell)
"'86.86523438","'86.86523438","'86.86523438","'86.86523438",
"'87.98828125","'88.91601563","'90.47851563","'92.48046875",
"'86.76757813","'87.64648438","'89.20898438","'91.16210938",
"'41.01562500","'75.39062500","'76.70898438","'78.41796875",
"'41.01562500","'78.90625000","'80.27343750","'82.08007813",
"'81.29882813","'82.17773438","'83.64257813","'85.49804688",
"'73.14453125","'73.92578125","'75.24414063","'76.90429688",
"'87.45117188","'88.37890625","'89.94140625","'91.94335938",
