"'Table 2-Chamaecyparis,","'white-cedar:","'phenology of flowering","'and fruiting","'",
"'Species","'Location","'Flowering","'Cone ripening","'Seed dispersal",
"'C. lawsoniana","'Oregon","'March","'Sept-Oct","'Sept-May",
"'C. nootkatensis","'Pacific Coast","'Apr-May","'Sept-Oct*","'Oct-spring",
"'C. thyoides","'Atlantic Coast","'Mar-Apr","'Sept-Oct","'Oct 15-Mar I",
,,,,

'Confidence Scores % (Table Cell)
""'91.65039063","'91.65039063","'91.65039063","'91.65039063","'91.65039063",
"'83.30078125","'85.98632813","'87.69531250","'88.96484375","'89.35546875",
"'72.99804688","'75.34179688","'76.85546875","'77.97851563","'78.32031250",
"'67.72460938","'69.87304688","'71.28906250","'72.31445313","'72.60742188",
"'80.95703125","'83.54492188","'85.25390625","'86.47460938","'86.81640625",
