"'Table I-Celtis, hackberry:","'nomenclature and occurrence","'",
"'Scientific name & synonym","'Common name(s)","'Occurrence",
"'C. laevigata Willd. C. mississippiensis Spach","'sugarberry, sugar hackberry, hackberry, sugarberry, palo blanco","'Maryland & Virginia to Florida & Texas; N to Kansas, Texas, Illinois, & Kentucky",
"'C. laevigata var. reticulata (Torr.) L. Benson C. reticulata Torr.","'netleaf hackberry, hackberry, western hackberry, palo","'Washington & Colorado S to W Texas, S California, & central Mexico",
"'C. occidentalis L. C. crassifolia Lam.","'common hackberry, hackberry, sugarberry, northern hackberry","'New England to North Dakota; S to NW Texas & N Georgia",
,,

'Confidence Scores % (Table Cell)
""'86.08398438","'86.08398438","'86.08398438",
"'84.66796875","'86.81640625","'88.03710938",
"'51.80664063","'53.17382813","'53.90625000",
"'54.15039063","'55.56640625","'56.34765625",
"'86.47460938","'88.67187500","'89.94140625",
