"'Table I-Fagus, beech:","'nomenclature and occurrence","'",
"'Scientific name","'Common name","'Occurrence",
"'F. grandifolia Ehrh. F. sylvatica L.","'American beech, beech European beech","'Nova Scotia to S Ontario & N Michigan, S to N Florida & E Texas Europe; planted in NE US",
,,

'Confidence Scores % (Table Cell)
""'84.66796875","'84.66796875","'84.66796875",
"'82.03125000","'81.05468750","'86.23046875",
"'74.60937500","'73.73046875","'78.41796875",
