"'Table Pinus, pine: nomenclature","'and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'P. albicaulis Engelm.","'whitebark pine","'Subalpine; Sierra Nevada-Cascade Ranges; coastal ranges & Rocky Mtns; S British Columbia, adjacent Alberta S to central California, N Nevada; Idaho, Montana, to NE Oregon, W Wyoming",
"'P. aristata Engelm. P. balfouriana var. aristata (Engelm.) Engelm.","'bristlecone pine, foxtail pine, hickory pine","'Subalpine; E central California, Nevada, Utah, N Arizona; central Colorado & N New Mexico",
"'P. arizonica Engelm. P. ponderosa var. arizonica (Engelm.) Shaw","'Arizona pine, Arizona ponderosa pine, Arizona yellow pine","'Sierra Madre Occidental; NW Durango, central Mexico, N into SE Arizona, SW corner New Mexico",
"'P armandii Franch.","'Armand pine","'Mid-high elevations of mtns in central China to SW China, N Burma, E Tibet; Hainan, Taiwan; Japan (N Ryuku Islands)",
"'P. attenuata Lemmon P. tuberculata Gord.","'knobcone pine","'Rocky slopes & ridges of Klamath Mtns, coastal ranges & Sierra Nevada in SW Oregon & California; Baja California Norte",
"'P. balfouriana Grev. & Balf.","'foxtail pine, Balfour pine","'Subalpine California; central, S Klamath Mtns, S Sierra Nevada",
"'P. banksiana Lamb. P. divaricata (Ait.) Dum.-Cours.","'jack pine, scrub pine, banksiana pine, black/gray pine, Hudson Bay pine","'Canada, NE US: S Mackenzie to central Alberta, E through Ontario to Nova Scotia, S through Great Lakes region to SW Wisconsin, Michigan to NW Indiana; upstate New York, New Hampshire, Maine",
"'P. brutia Tenore P. halepensis var. brutia (Ten.) Elwes & Henry","'Calabrian pine","'Crete, Cyprus, Lebanon, W Syria, Turkey to NE Greece, Black Sea; Caucasus Mtns; N Iraq",
"'P. canariensis C. Smith","'Canary Island pine, Canary pine","'Dry slopes of Canary Islands (Hierro, La Palma, Tenerife, Gomera, & Gran Canaria), Spain",
"'P. caribaea Morelet P. bahamensia Griseb. P. hondurensis Loock","'Caribbean pine","'W Bahamas; W Cuba, Isle of Pines; Caribbean Central America, Belize S to Nicaragua",
"'P. cembra L. P. montana Lam.","'Swiss stone pine, cembrian pine, arolla pine","'High elevations in Alps & Carpathian Mtns; N Italy, SE France, Switzerland, Austria, W tip of Yugoslavia; Romania, SW Ukraine, NW [Czecho]slovakia",
"'P. cembroides Zucc.","'Mexican piñyon, nut pine, pinyon","'Semiarid, low elevations of Sierra Madre Oriental & Occidental; Puebla, Tlaxcala N in E, W Mexico to SE Arizona, SW New Mexico, SW Texas; S Baja California Sur, Mexico",
"'P. clausa (Chapman ex Engelm.) Vasey ex Sarg.","'sand pine, scrub pine, spruce pine","'Sandy plains; throughout central Florida to coastal NE & S Florida; also W Florida Panhandle W into Baldwin Co., coastal Alabama",
"'P contorta var. bolanderi (Parl.) Vasey","'Bolander pine","'Coastal N California: acid podsol soils of Mendocino White Plains in Mendocino Co.",
"'P. contorta var. contorta Dougl. ex Loud.","'shore pine, coast pine, beach pine, lodgepole pine","'Pacific Coast mtns, low elevations down to sea level; California north coastal ranges N to Yakutat Bay, SE Alaska",
"'P. contorta var. latifolia Engelm. ex S.Wats.","'Rocky Mountain lodgepole pine, black pine","'Rocky Mtns & intermountain region; Colorado & Utah N through W Canada to central Yukon; Black Hills, South Dakota",
"'P. contorta var. murrayana (Grev. & Balf.) Engelm.","'Sierra Nevada lodgepole pine, tamarack pine","'Subalpine; Sierra Nevada-Cascade Ranges, transverse- peninsular ranges; California to Baja California Norte, W Nevada, Oregon N to SW Washington",
"'P. coulteri D. Don P. ponderosa ssp. coulteri (D. Don) E. Murr","'Coulter pine, nut pine, big-cone pine","'Mtns; California south coastal ranges S through transverse-peninsular ranges to N Baja California Norte",
"'P. densiflora Sieb. & Zucc.","'Japanese red pine","'Mtns, low-mid elevations in Japan (Honshu to Kyushu), South Korea, E North Korea to SE Manchuria, adjoining Chabarovsk, Siberia",
"'P echingta P. Mill","'shortleaf pine, southern yellow pine, oldfield pine","'Coastal plains, Piedmont, Appalachian Mtns, Ozark Plateau; tip SE New York S to NW Florida, W to E Texas, E Oklahoma, SE Missouri, S Ohio",
"'P edulis Engelm. P. cembroides var. edulis (Engelm.) Voss","'piñyon, Colorado pinyon, nut pine, two-needle pinyon","'Semiarid regions; Arizona, Utah, Colorado, New Mexico; crosses into W Oklahoma, SW Texas, & SE California",
,,

'Confidence Scores % (Table Cell)
"'86.76757813","'86.76757813","'86.76757813",
"'93.40820313","'91.60156250","'95.31250000",
"'94.58007813","'92.67578125","'96.48437500",
"'92.38281250","'90.57617188","'94.23828125",
"'93.79882813","'91.94335938","'95.70312500",
"'93.40820313","'91.60156250","'95.31250000",
"'93.31054688","'91.50390625","'95.21484375",
"'90.47851563","'88.72070313","'92.33398438",
"'94.09179688","'92.23632813","'95.99609375",
"'58.34960938","'57.22656250","'59.52148438",
"'92.43164063","'90.62500000","'94.28710938",
"'63.23242188","'61.96289063","'64.50195313",
"'63.28125000","'62.01171875","'64.55078125",
"'93.79882813","'91.94335938","'95.70312500",
"'93.06640625","'91.21093750","'94.92187500",
"'85.69335938","'83.98437500","'87.40234375",
"'93.70117188","'91.84570313","'95.60546875",
"'92.91992188","'91.06445313","'94.77539063",
"'94.48242188","'92.62695313","'96.38671875",
"'52.24609375","'51.22070313","'53.32031250",
"'80.02929688","'78.46679688","'81.64062500",
"'92.52929688","'90.72265625","'94.38476563",
"'94.87304688","'93.01757813","'96.82617188",
