"'Table Pinus, pine: nomenclature","'and occurrence (continued)","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'P. elliottii var. densa Little & Dorman","'South Florida slash pine","'Sandy plains of central to S Florida, E & W Florida coasts; lower Florida Keys",
"'P. elliottii var. elliottii Engelm. P. caribaeu Morelet","'slash pine, pitch pine, swamp pine, yellow slash pine, Honduras pine","'Coastal plains of lower South Carolina S to central Florida, W to S Mississippi, SE Louisiana",
"'P. engelmannii Carr. P. latifolia Sarg. P. apacheca Lemmon","'Apache pine, Arizona longleaf pine","'Sierra Madre Occidental; Aguascalientes, SW Zacatecas N through W Mexico into SE Arizona, SW corner of New Mexico",
"'P. flexilis James","'limber pine, Rocky Mountain white pine","'Subalpine; Sierra Nevada, Great Basin ranges, Rocky Mtns; New Mexico N to Alberta, Canada;V in Idaho, Utah, Nevada, into S California",
"'P. gerardiana D. Don P. aucklandii Lodd. P. chilghoza Ehh.","'chilgoza pine, Gerard pine","'Himalayas, dry valleys; E Afghanistan, contiguous N Pakistan, N India",
"'P. glabra Walt.","'spruce pine, cedar pine, bottom white pine","'Coastal plains of E South Carolina to N Florida, W to S Mississippi, SE Louisiana",
"'P. halepensis P. Mill. P. alepensis Poir.","'Aleppo pine, Jerusalem pine","'Mediterranean region: E Spain, SE France, Italy, S Adriatic Coast to Greece; NE Libya; Israel, Morocco to N Tunisia; Pantalleria, Sicily; W Jordan N to extreme S central Turkey",
"'P. heldreichii Christ P. heldreichii var. leucodermis (Ant.) Markgr. P. eucodermis Ant. P. nigra var. leucodermis (Ant.) Rehd.","'Heldreich pine, Balkan pine, Bosnian pine, graybark pine","'High elevations of Balkan Peninsula, Albania to SW Yugoslavia, extreme N Greece, SW to SW Bulgaria, & SW Italy",
"'P. jeffreyi Grev. & Balf. P. ponderosa var. jeffreyi (Grev. & Balf.) E. Murr.","'Jeffrey pine","'Sierra Nevada-Cascade & Klamath Mtns, coastal & transverse-peninsular ranges of California to SW Oregon, Baja California Norte, W Nevada",
"'P. kesiya Royle & Gordon P. khasya Royle P. insularis Endl.","'Khasi pine, Benguet pine","'High elevations of E India, SE Tibet, Burma, SW Yunnan to N Thailand, Laos, S Vietnam, W Luzon, Philippines",
"'P. koraiensis Sieb. & Zucc.","'Korean pine, cedar pine","'Mtns of South Korea to North Korea through E Manchuria, S Chabarovsk, Siberia; Japan (central Honshu & Shikoku)",
"'P. lambertiana Dougl.","'sugar pine, piño real","'Sierra Nevada-Cascade & Klamath Mtns, coastal & transverse-peninsular ranges of California to N Oregon, Baja California Norte, W Nevada",
"'P. leiophylla var. chihuahuang (Engelm.) Shaw P. chihuahuana Engelm.","'Chihuahua pine, yellow pine, piño real","'Sierra Madre del Sur, trans-Mexico volcanic belt, Sierra Madre Occidental; Oaxaca, Vera Cruz W to Michoacán; N in W Mexico to SE Arizona, SW New Mexico",
"'P. merkusii Junghuhn & Vriese ex Vriese","'Merkus pine, Tenasserim pine","'Mtns, low elevations of SE Burma, N Thailand, Cambodia, Laos, Vietnam, Hainan, N Sumatra, Philippines (W Luzon & N Mindoro)",
"'P. monophylla Torr. & Frém. P. cembroides var. monophylla (Torr. & Frém.) Voss","'singleleaf pinyon, nut pine, pinyon, piñon","'Semiarid mtns of NW Arizona, W Utah to SE Idaho, W through Nevada to E California, S to Baja California Norte",
"'P. monticola Dougl. ex D. Don","'western white pine, Idaho white pine, silver pine","'Sierra Nevada, Cascade & coastal ranges; Klamath & Rocky Mtns; California, W Nevada, Oregon through Washington, N Idaho, NW Montana, Vancouver Island, S British Columbia, SW corner Alberta",
"'P. mugo Turra P. montana Miller","'Swiss mountain pine, mugho (or mugo) pine, dwarf mountain pine","'Subalpine areas in central & S Europe: Pyrenees, Alps, Carpathian Mtns, Balkan Mtns; Austria, Switzerland, N Italy, E France; N to Germany, Czech Republic & Slovakia into S Poland, E into W Ukraine, Romania; Yugoslavia to N Albania, W Bulgaria; central Italy; S France, NE Spain",
"'P. muricata D. Don P. remorata Mason","'bishop pine, prickle-cone pine, Santa Cruz Island pine","'Coastal mtns; California Coast Ranges, Santa Rosa & Santa Cruz Islands; Baja California Norte, Cedros Island, Mexico",
"'P. nigra Arnold P. nigra var. austriaca (Hoess) Aschers. & Graebn.","'Austrian pine, European black pine, black pine","'S Europe, Mediterranean, Asia Minor; Spain to Corsica, Italy, Sicily; Yugoslavia to E Austria, SW Romania, Bulgaria, Albania, Greece, Turkey; Black Sea Coast in Ukraine, Russia; Cyprus; NE Morocco; N Algeria",
,,

'Confidence Scores % (Table Cell)
"'79.19921875","'79.19921875","'79.19921875",
"'94.87304688","'93.11523438","'95.45898438",
"'93.60351563","'91.84570313","'94.14062500",
"'95.31250000","'93.50585938","'95.89843750",
"'95.31250000","'93.50585938","'95.89843750",
"'95.11718750","'93.31054688","'95.70312500",
"'95.75195313","'93.94531250","'96.33789063",
"'86.23046875","'84.57031250","'86.71875000",
"'92.72460938","'90.96679688","'93.26171875",
"'95.55664063","'93.75000000","'96.14257813",
"'93.89648438","'92.08984375","'94.43359375",
"'94.48242188","'92.72460938","'95.06835938",
"'94.58007813","'92.82226563","'95.16601563",
"'94.72656250","'92.96875000","'95.31250000",
"'73.77929688","'72.41210938","'74.21875000",
"'72.60742188","'71.24023438","'73.04687500",
"'94.28710938","'92.52929688","'94.87304688",
"'94.67773438","'92.91992188","'95.26367188",
"'96.53320313","'94.67773438","'97.07031250",
"'91.11328125","'89.35546875","'91.65039063",
"'96.43554688","'94.58007813","'96.97265625",
