"'Alaback P,Antos J, Goward T, Lertzman K, MacKinnon A, Pojar J, Pojar R, Reed A, Turner N, Vitt D. 1994. Plants of the Pacific Northwest Coast. Redmond, WA: Lone Pine Publishing. 527 p.","'Doede DL, Carroll E, Westfall R, Miller R, Kitzmiller JH, Snader KM. 1993. Geographic variation in allozymes and taxol, and propagation by rooted cuttings in Pacific yew. In: Temple CR, ed. International Yew Resources",
"'Allison TD. 1990. Pollen production and plant density affect pollination and seed production in Taxus canadensis. Ecology 7(2): 516-522.","'Conference Extended Abstracts; 1993 March 12-13. Berkeley, CA: University of California: 10-11.",
"'Allison TD. 1991. Variation in sex expression in Canada yew (Taxus canadensis). American Journal of Botany 78(4): 569-578.","'Edwards DGW. 1987. Methods and procedures for testing tree seeds in Canada. For. Tech. Rep. 36. Ottawa: Canadian Forestry Service. 31 p.",
"'Allison TD. 1995. Personal communication. Bethesda, MD: National Science Foundation.","'Flores T, Wagner LJ, Flores HE. 1993. Embryo culture and taxane production in Taxus spp. In Vitro Cellular and Developmental Biology Plant 29:",
"'Ambasta SP. 1986. The useful plants of India. New Delhi: Council of Scientific and Industrial Research, Publications and Information Directorate. 622 p.","'160-165. Harlow WM, Harrar ES. 1958. Textbook of dendrology. 4th ed. New York: McGraw-Hill. 561 p.",
"'Arno SF, Hammerly RP. 1977. Northwest trees. Seattle, WA: The Mountaineers. 222 p.","'Harmann HT, Kester DE, Davies FT, Jr. 1990. Plant propagation principles and practices. 5th ed. Englewood Cliffs, NJ: Regents/Prentice-Hall. 647 p.",
"'Bolsinger CL, Jaramillo AE. 1990. Taxus brevifolia Nutt., Pacific yew In: Burns RM, Honkala BH, tech. coord. Silvics of North America. Agric. Handbk. 654. Washington, DC: USDA Forest Service: 573-579.","'Hartzell H. 1991. The yew tree. Eugene, OR: Hulogosi Press. 319 p. Heit CE. 1967. Propagation from seed, part 10: storage methods for conifer seeds. American Nurseryman 126(8): 14-15, 38-54.",
"'Bugala W. 1978. Systematics and variability. In: Bialobok S, ed. The yew: Taxus baccata L. [Markiewicz H, trans.]. Nasze Lesne, Warsaw: National Center for Scientific, Technical and Economic Information Service. 149 p. Chadwick LC, Keen RA. 1976. A study of the genus Taxus. Res. Bull. 1086. Wooster, OH: Ohio Agricultural Research and Development Center. 56 p.","'Heit CE. 1969. Propagation from seed: 18. Testing and growing seeds of popular Taxus forms. American Nurseryman 179(2): 10-11, 118-128. ISTA [International Seed Testing Association]. 1993. International rules for seed testing: rules 1993. Seed Science and Technology 21 (Suppl.): I-259. Krüssmann G. 1983. Manual of cultivated conifers. 2nd rev. ed. Berlin: Verlag Paul Parey. 361 p.",
"'Copes DL. 1977. Influence of rooting media on root structure and rooting percentage of Douglas-fin cuttings. Silvae Genetica 26: 102-106. Crawford, R. 1983. Pacific yew community ecology in north-central Idaho with implications to forest land management [PhD thesis]. Moscow, ID: University of Idaho. 109 p.","'Lee S. 1973. Forest botany of China, supplement. November 30, 1973: I-2. Lewington A, Parker E. 1999. Ancient trees: trees that live for 1000 years. London: Collins and Brown: 66-76. Little EL Jr. 1971. Atlas of United States trees. Volume I, Conifers and important hardwoods. Misc. Pub. 1146. Washington, DC: USDA Forest",
"'Dallimore W, Jackson AB. 1967. A handbook of Coniferae and Ginkgoaceae. 4th ed. 4 [rev. by SG Harrison]. New York: St. Martin's Press. 729 p.","'Service. 9 p. + 200 maps. Miller RW 1980. A brief survey of Taxus alkaloids and other taxane deriva- tives. Journal of Natural Products 43: 425-437.",
"'DiFazio, P.Wilson MV,Vance, NC. 1996. Variation in sex expression of Taxus brevifolia in western Oregon. Canadian Journal of Botany 74: 1943-1946.","'Minore D, Weatherly HG, Cartmill M. 1996. Seeds, seedlings, and growth of Pacific yew (Taxus brevifolia). Northwest Science 70: 223-229. Nisley RG. 2002. Personal observation. Avon, CT: USDA Forest Service,",
"'DiFazio SP,Vance NC, Wilson MV. 1997. Strobilius production and growth of Pacific yew under a range of overstory conditions in western Oregon. Canadian Journal of Forest Research 27: 986-993.","'Northeastern Research Station. Owens JN, Simpson S. 1986. Pollen from conifers native to British Columbia. Canadian Journal of Forest Research 955-967.",
"'DiFazio SP,Wilson MV,Vance NC. 1998. Factors limiting seed production in Taxus brevifolia (Taxaceae) in western Oregon. American Journal of Botany 85: 910-918.","'Pilz D. 1996a. Propagation of Pacific yews from seed: Part I. American Conifer Society Bulletin 13(1): 13-19.",
,

'Confidence Scores % (Table Cell)
"'55.85937500","'55.81054688",
"'55.95703125","'55.90820313",
"'60.54687500","'60.49804688",
"'59.03320313","'58.98437500",
"'59.32617188","'59.27734375",
"'59.96093750","'59.86328125",
"'46.04492188","'46.02050781",
"'38.15917969","'38.11035156",
"'35.18066406","'35.15625000",
"'40.77148438","'40.72265625",
"'57.71484375","'57.66601563",
"'51.41601563","'51.36718750",
"'58.44726563","'58.39843750",
