"'Table -Tetradymia, horsebrush:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name","'Occurrence",
"'T. argyraea Munz & Roos","'striped horsebrush, striped cottonthorn","'Mountains of E Riverside & San Bernadino Cos., California",
"'T. axillaris A. Nels. T.a. var. axillaris T.a. var. longispina (M. E. Jones) Strother","'longspine horsebrush","'S Nevada into Inyo Co., California; S California",
"'T. canescens DC. T. inermis Nutt.; T. multicaulis A. Nels. T. linearis Rydb.","'gray horsebrush, spineless horsebrush, common horsebrush","'S British Columbia to S California E of Cascades- Sierra Nevada and from S Saskatchewan to N Arizona",
"'T. comosa Gray","'hairy horsebrush","'SW California to N Baja California",
"'T. filifolia Greene","'threadleaf horsebrush","'Central New Mexico",
"'T. glabrata Torr. & Gray","'smooth horsebrush, littleleaf horsebrush","'Great Basin, SE Oregon & SW Idaho, Utah, Nevada, to S California, mostly E of Sierra Nevada",
"'T. nuttallii Torr. & Gray T. spinosa Nutt. X T. permixta Payson","'Nuttall horsebrush","'SE Wyoming across central & N Utah to NE Nevada",
"'T. spinosa Hook. & Arn. Lagothamnus ambiguus Nutt. L. microphyllus Nutt.","'spiny horsebrush, cottonthorn horsebrush, catclaw horsebrush, shortspine horsebrush, thorny horsebrush","'SE Oregon, S Idaho, SW Montana S across W Wyoming & and Colorado, NW Arizona, W to Sierra Nevada",
"'T. stenolepis Greene","'Mojave horsebrush","'S California to extreme S tip of Nevada",
"'T. tetrameres (Blake) Strother T. comosa Gray ssp. tetrameres Blake","'cotton horsebrush, four-part horsebrush, dune horsebrush","'Central N Nevada SW to Mono Co., California",
,,

'Confidence Scores % (Table Cell)
"'82.61718750","'82.61718750","'82.61718750",
"'91.60156250","'89.94140625","'93.89648438",
"'89.50195313","'87.93945313","'91.79687500",
"'82.12890625","'80.66406250","'84.22851563",
"'49.51171875","'48.63281250","'50.78125000",
"'72.75390625","'71.48437500","'74.60937500",
"'66.01562500","'64.84375000","'67.72460938",
"'87.54882813","'85.98632813","'89.74609375",
"'86.66992188","'85.15625000","'88.86718750",
"'94.18945313","'92.52929688","'96.58203125",
"'65.72265625","'64.55078125","'67.38281250",
"'92.57812500","'90.91796875","'94.92187500",
