"'Table 6-Acer, maple:","'germination","'test conditions","'and results for","'stratified seeds","'","'",
"'","'","'Germination test","'conditions","'Germination","'rate","'",
"'","'Temp","'(C)","'","'Amount","'Time","'Total",
"'Species","'Day","'Night","'Days","'(%)","'(days)","'germination (%)",
"'A. circinatum","'30","'20","'38","'12","'10","'19",
"'A. ginnala","'30","'20","'38","'50","'10","'52",
"'A. glabrum","'10-16","'10-16","'-","'40","'30","'-",
"'A. macrophyllum*","'","'","'","'","'","'",
"'Source I","'2-3","'2-3","'120","'15-66","'60-90","'100",
"'Source 2","'2-3","'2-3","'120","'0-13","'60-90","'100",
"'Source 3","'2-3","'2-3","'120","'8-92","'60-90","'100",
"'A. negundo","'-","'-","'24-60","'14-67","'14-48","'24-96",
"'A. pensylvanicumt","'5","'5","'90","'-","'-","'82",
"'","'23","'23","'60","'-","'-","'76",
"'A. platanoides","'4-10","'4-10","'-","'-","'-","'30-81",
"'A. pseudoplatanus","'-","'-","'-","'24-37","'20-97","'50-71",
"'A. rubrump","'","'","'","'","'","'",
"'Low elevation (U)","'15","'5","'-","'-","'-","'55",
"'Low elevation (S)","'15","'5","'-","'-","'-","'89",
"'High elevation (U)","'15","'5","'-","'-","'-","'13",
"'High elevation (S)","'15","'5","'-","'-","'-","'54",
"'A. saccharinum","'30","'30","'5-18","'72-91","'3-13","'94-97",
"'A. saccharum","'2-3","'2-3","'90","'80","'75","'95",
"'A. spicatum","'-","'","'","'32","'31","'34",
"'","'","'","'","'","'","'",
,,,,,,

'Confidence Scores % (Table Cell)
""'77.44140625","'77.44140625","'77.44140625","'77.44140625","'77.44140625","'77.44140625","'77.44140625",
"'63.33007813","'90.18554688","'90.18554688","'90.18554688","'91.35742188","'91.35742188","'82.71484375",
"'63.33007813","'84.42382813","'84.42382813","'93.94531250","'94.28710938","'89.06250000","'82.71484375",
"'63.33007813","'84.27734375","'91.40625000","'93.94531250","'94.28710938","'89.06250000","'82.71484375",
"'91.55273438","'84.17968750","'91.30859375","'90.72265625","'91.79687500","'87.50000000","'92.18750000",
"'86.13281250","'79.19921875","'85.83984375","'85.35156250","'86.32812500","'82.32421875","'86.66992188",
"'93.06640625","'85.59570313","'92.82226563","'92.23632813","'93.31054688","'88.96484375","'93.70117188",
"'49.90234375","'49.90234375","'49.90234375","'49.90234375","'49.90234375","'49.90234375","'49.90234375",
"'82.08007813","'75.48828125","'81.83593750","'81.34765625","'82.27539063","'78.46679688","'82.61718750",
"'89.94140625","'82.71484375","'89.69726563","'89.16015625","'90.18554688","'85.98632813","'90.52734375",
"'88.72070313","'81.59179688","'88.47656250","'87.93945313","'88.96484375","'84.81445313","'89.30664063",
"'93.16406250","'85.69335938","'92.91992188","'92.33398438","'93.40820313","'89.06250000","'93.79882813",
"'77.05078125","'70.84960938","'76.85546875","'76.36718750","'77.24609375","'73.63281250","'77.58789063",
"'77.83203125","'71.58203125","'77.58789063","'77.09960938","'78.02734375","'74.36523438","'78.32031250",
"'91.74804688","'84.37500000","'91.50390625","'90.91796875","'91.99218750","'87.69531250","'92.38281250",
"'90.91796875","'83.59375000","'90.62500000","'90.08789063","'91.11328125","'86.86523438","'91.50390625",
"'54.00390625","'54.00390625","'54.00390625","'54.00390625","'54.00390625","'54.00390625","'54.00390625",
"'80.85937500","'74.36523438","'80.61523438","'80.12695313","'81.05468750","'77.29492188","'81.39648438",
"'87.93945313","'80.85937500","'87.64648438","'87.10937500","'88.13476563","'84.03320313","'88.47656250",
"'87.59765625","'80.51757813","'87.30468750","'86.81640625","'87.79296875","'83.69140625","'88.18359375",
"'84.66796875","'77.83203125","'84.37500000","'83.88671875","'84.86328125","'80.90820313","'85.20507813",
"'87.74414063","'80.66406250","'87.45117188","'86.96289063","'87.93945313","'83.83789063","'88.33007813",
"'90.82031250","'83.49609375","'90.52734375","'89.99023438","'91.06445313","'86.81640625","'91.40625000",
"'66.01562500","'60.69335938","'65.82031250","'65.42968750","'66.21093750","'63.08593750","'66.45507813",
"'55.22460938","'50.78125000","'55.02929688","'54.73632813","'55.37109375","'52.78320313","'55.56640625",
