"'Table I-Ceanothus, ceanothus:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name","'Occurrence",
"'C. americanus L.","'New-Jersey-tea, Jersey-tea,","'Dry woods, Ontario to Manitoba, Maine to North Dakota, S to Florida & Texas",
"'C. arboreus Greene C. arboreus var. glabra Jepson","'feltleaf ceanothus, island myrtle, Catalina ceanothus","'Larger islands of Santa Barbara Channel, California (up to 300 m on dry slopes & chaparral)",
"'C. cordulatus Kellogg","'mountain whitethorn, snowbush, whitethorn ceanothus","'Baja California & mtns of S California, N to SW Oregon, E to Nevada (900-2,900 m on rocky ridges & ponderosa pine to red fir forests)",
"'C. crassifolius Torr.","'hoaryleaf ceanothus","'Cis-montane southern California & Baja California (to 1,100 m on dry slopes & ridges, chaparral)",
"'C. cuneatus (Hook.) Nutt.","'buckbrush ceanothus, wedgeleaf ceanothus, hornbrush, buckbrush","'Inner Coast Range & Sierra Nevada foothills, California into Oregon, S to Baja California (100-1,800 m in chaparral & ponderosa pine forests)",
"'C. cuneatus var. rigidus (Nutt.) Hoover C. rigidus Nutt.","'Monterey ceanothus","'San Luis Obispo Co., N through Mendocino Co., California (up to 200 m on coastal bluffs, in closed-cone pine forests)",
"'C. diversifolius Kellogg","'trailing ceanothus, pinemat, Calistoga ceanothus","'Westside Sierra Nevada, spotty in northern Coast Range, California (900-1,800 m, under oaks & pines)",
"'C. fendleri Gray","'Fendler ceanothus, buckbrush","'South Dakota to New Mexico, Arizona, & Mexico (1,500 to 3,000 m, in ponderosa pine to dry Douglas-fir forests)",
"'C. greggii Gray","'desert ceanothus, mountain buckbrush","'W Texas to S California, Utah, & N Mexico (300-2,300 m, chaparral & desert chaparral)",
"'C. impressus Trel.","'Santa Barbara ceanothus","'Coastal areas in Santa Barbara & San Luis Obispo Cos., California (to 200 m in dry, sandy flats & slopes)",
"'C. integerrimus Hook & Arn. C. andersonii Parry","'deerbrush ceanothus, sweet-birch, blue bush, deer brush","'N California, Oregon, Washington to S California, Arizona, & New Mexico (300-2,100 m, in ponderosa pine to western hemlock, white fir forests; chaparral in SW)",
"'C. leucodermis Greene","'chaparral whitethorn","'S California to N Baja California (to 1,800 m in chaparral, dry slopes)",
"'C. megacarpus Nutt.","'bigpod ceanothus","'California",
"'NOT_SELECTED C. oliganthus Nutt. C. hirsutus Nutt. C. divaricatus Nutt.","'hairy ceanothus, jimbrush","'Coast Ranges, San Luis Obispo & Santa Barbara Cos. & San Gabriel Mtns to Humboldt Co., California (to 1,300 m in chaparral)",
"'C. prostratus Benth.","'prostrate ceanothus, squaw-carpet, mahala mat, squaw mat","'Sierra Nevada & N Coast Range S to Calaveras Co., California; higher mtns of Oregon & Washington, W Nevada (900-2,200 m, common in ponderosa & Jeffrey pine forests)",
"'C. sanguineus Pursh C. oreganus Nutt.","'redstem ceanothus, Oregon-tea tree","'N California, Oregon, Idaho, Washington, & W Montana to S British Columbia (around 1,200 m in ponderosa pine Douglas-fir/mixed conifer, western hemlock zones)",
"'C. sorediatus Hook. & Arn. C. intricatus Parry C. oliganthus var. sorediatus (Hook. & Arn.) Hoover","'jimbrush ceanothus, jimbrush","'Coast Range in Los Angeles & Riverside Cos., Parry to Humboldt Co., California (150-1,000 m, in chaparral)",
"'C. thyrsiflorus Eschsch. C. thyriflorus var. repens McMinn","'blueblossom, wild lilac","'Coastal mountains Santa Barbara Co., California, to Douglas Co., Oregon (from sea level to 600 m in coast redwood, mixed-evergreen, Douglas-fir forest, & chaparral",
"'C. velutinus Dougl. ex Hook.","'snowbrush ceanothus, mountain balm, sticky-laurel, tobacco brush","'Coast Ranges, British Columbia to Marin Co., California, Siskiyou Mtns, Sierra Nevada/Cascade axis E to SW Alberta, Montana, South Dakota, & Colorado (to 3,000 m, in many forest types, ponderosa pine to subalpine)",
"'C. velutinus var. hookeri (M.C. Johnston) C. velutinus var. laevigatus Torr. & Gray","'varnish-leaf ceanothus, Hooker ceanothus, snowbrush","'Same as above, but more common near coast",
,,

'Confidence Scores % (Table Cell)
""'59.81445313","'59.81445313","'59.81445313",
"'93.89648438","'93.45703125","'95.70312500",
"'93.26171875","'92.87109375","'95.06835938",
"'86.03515625","'85.64453125","'87.64648438",
"'90.47851563","'90.08789063","'92.23632813",
"'85.59570313","'85.20507813","'87.25585938",
"'93.60351563","'93.16406250","'95.41015625",
"'93.94531250","'93.50585938","'95.75195313",
"'90.77148438","'90.38085938","'92.52929688",
"'89.01367188","'88.62304688","'90.72265625",
"'91.30859375","'90.86914063","'93.06640625",
"'86.81640625","'86.42578125","'88.47656250",
"'94.48242188","'94.04296875","'96.28906250",
"'89.79492188","'89.40429688","'91.50390625",
"'73.53515625","'73.24218750","'74.95117188",
"'94.14062500","'93.70117188","'95.94726563",
"'92.57812500","'92.13867188","'94.33593750",
"'87.98828125","'87.59765625","'89.69726563",
"'92.96875000","'92.52929688","'94.72656250",
"'90.28320313","'89.84375000","'91.99218750",
"'94.23828125","'93.79882813","'96.04492188",
"'94.67773438","'94.28710938","'96.53320313",
